sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349269	34947	10.006	98	0	98	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	98	205	0.0	0.0	0.0	1.0	0	98	170	0.0	0.0	0.0	1.0	11122	4975	1562	2	2	1899.0	1646.8	1646.8	0.0	1646.9	109.8	109.7	99.8	0.0	99.8	1899.0	18.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	400874	57469	14.336	104	2	102	373	0	0.0053	0.0192	0.0	1.0	0.9808	0.9947	0.0084	2	102	203	0.0098	0.0192	0.0	1.0	0	104	170	0.0	0.0	0.0	1.0	12020	5668	1977	2	2	2021.6	1760.8	1760.8	0.0	1760.8	109.7	109.7	109.7	0.0	99.7	2021.6	20.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	327917	40412	12.324	116	23	93	352	0	0.0613	0.1983	0.0	1.0	0.8017	0.9387	0.0937	19	97	186	0.0927	0.1638	0.0	1.0	4	112	166	0.0235	0.0345	0.0	1.0	10885	4496	1415	2	3	1896.6	1630.1	1630.1	0.0	1630.1	109.8	109.7	99.8	0.0	99.7	1896.6	17.4	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413118	57629	13.95	206	106	100	269	0	0.2827	0.5146	0.0	1.0	0.4854	0.7173	0.3649	80	126	125	0.3902	0.3883	0.0	1.0	26	180	144	0.1529	0.1262	0.0	1.0	12155	5901	2498	3	3	2069.9	1774.1	1774.1	0.0	1774.1	109.8	109.7	99.8	0.0	99.8	2069.9	21.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	328706	36917	11.231	259	156	103	219	0	0.416	0.6023	0.0	1.0	0.3977	0.584	0.4921	113	146	92	0.5512	0.4363	0.0	1.0	43	216	127	0.2529	0.166	0.0	1.0	10755	4663	2488	2	2	1902.9	1627.5	1627.5	0.0	1627.6	109.7	109.7	109.7	0.0	99.8	1902.9	18.5	0
Sample_15ng_VAF_0pc	15ng	0.0	331556	37132	11.199	95	1	94	374	0	0.0027	0.0105	0.0	1.0	0.9895	0.9973	0.0043	1	94	204	0.0049	0.0105	0.0	1.0	0	95	170	0.0	0.0	0.0	1.0	10769	4575	1812	2	2	1904.8	1629.7	1629.7	0.0	1629.7	109.7	109.7	99.8	0.0	99.8	1904.8	17.7	0
Sample_15ng_VAF_1pc	15ng	1.0	351739	40750	11.585	313	211	102	164	0	0.5627	0.6741	0.0	1.0	0.3259	0.4373	0.6134	152	161	53	0.7415	0.4856	0.0	1.0	59	254	111	0.3471	0.1885	0.0	1.0	11212	5046	1981	3	3	1919.6	1661.0	1661.0	0.0	1661.1	109.7	109.7	99.8	0.0	99.8	1919.6	18.8	0
Sample_15ng_VAF_2pc	15ng	2.0	430388	66552	15.463	405	230	175	145	0	0.6133	0.5679	0.0	1.0	0.4321	0.3867	0.5897	164	241	41	0.8	0.4049	0.0	1.0	66	339	104	0.3882	0.163	0.0	1.0	12609	6213	3461	4	4	2095.9	1815.5	1815.5	0.0	1815.5	109.8	109.7	109.7	0.0	99.8	2095.9	23.1	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372016	20642	5.549	105	3	102	372	0	0.008	0.0286	0.0	1.0	0.9714	0.992	0.0125	3	102	202	0.0146	0.0286	0.0	1.0	0	105	170	0.0	0.0	0.0	1.0	10989	5583	1950	2	2	1918.1	1641.4	1641.4	0.0	1641.5	109.8	109.7	99.8	0.0	109.7	1918.1	19.1	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523331	47072	8.995	94	4	90	371	0	0.0107	0.0426	0.0	1.0	0.9574	0.9893	0.0171	4	90	201	0.0195	0.0426	0.0	1.0	0	94	170	0.0	0.0	0.0	1.0	13925	7944	5213	3	3	2174.9	1888.2	1888.2	0.0	1888.2	109.8	109.7	109.7	0.0	99.8	2174.9	27.9	0
