sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	64	0	64	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	64	205	0.0	0.0	0.0	1.0	0	64	170	0.0	0.0	0.0	1.0	10725	4205	976	2	2	1854.9	1597.8	1597.8	0.0	1597.8	109.8	109.7	109.7	0.0	99.8	1854.9	16.4	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	67	2	65	373	0	0.0053	0.0299	0.0	1.0	0.9701	0.9947	0.009	2	65	203	0.0098	0.0299	0.0	1.0	0	67	170	0.0	0.0	0.0	1.0	11326	4560	1079	2	2	1932.9	1680.5	1680.5	0.0	1680.5	109.8	109.8	99.8	0.0	99.7	1932.9	17.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	86	23	63	352	0	0.0613	0.2674	0.0	1.0	0.7326	0.9387	0.0998	19	67	186	0.0927	0.2209	0.0	1.0	4	82	166	0.0235	0.0465	0.0	1.0	10429	3975	885	2	2	1876.6	1584.5	1584.5	0.0	1584.5	109.8	109.7	109.7	0.0	99.7	1876.6	15.8	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	171	98	73	277	0	0.2613	0.5731	0.0	1.0	0.4269	0.7387	0.359	75	96	130	0.3659	0.4386	0.0	1.0	23	148	147	0.1353	0.1345	0.0	1.0	11456	4698	1152	2	2	1963.6	1688.1	1688.1	0.0	1688.2	109.8	109.8	99.8	0.0	99.7	1963.6	17.9	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	218	150	68	225	0	0.4	0.6881	0.0	1.0	0.3119	0.6	0.5059	108	110	97	0.5268	0.4954	0.0	1.0	42	176	128	0.2471	0.1927	0.0	1.0	10224	3968	1121	2	2	1838.1	1582.9	1582.9	0.0	1582.9	109.7	109.7	99.8	0.0	99.8	1838.1	15.9	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	61	0	61	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	61	205	0.0	0.0	0.0	1.0	0	61	170	0.0	0.0	0.0	1.0	10328	3990	930	1	1	1877.8	1584.8	1584.8	0.0	1584.8	109.7	109.8	99.8	0.0	109.7	1877.8	15.8	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	277	208	69	167	0	0.5547	0.7509	0.0	1.0	0.2491	0.4453	0.638	150	127	55	0.7317	0.5415	0.0	1.0	58	219	112	0.3412	0.2094	0.0	1.0	10621	4155	975	2	2	1859.7	1607.8	1607.8	0.0	1607.8	109.7	109.7	99.8	0.0	99.7	1859.7	16.3	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	357	230	127	145	0	0.6133	0.6443	0.0	1.0	0.3557	0.3867	0.6284	164	193	41	0.8	0.4594	0.0	1.0	66	291	104	0.3882	0.1849	0.0	1.0	11784	4747	1616	3	3	1978.0	1714.2	1714.2	0.0	1714.2	109.8	109.8	99.8	0.0	99.7	1978.0	18.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	69	2	67	373	0	0.0053	0.029	0.0	1.0	0.971	0.9947	0.009	2	67	203	0.0098	0.029	0.0	1.0	0	69	170	0.0	0.0	0.0	1.0	10390	4647	966	1	1	1850.4	1593.5	1593.5	0.0	1593.5	109.7	109.8	99.8	0.0	109.7	1850.4	16.6	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	65	2	63	373	0	0.0053	0.0308	0.0	1.0	0.9692	0.9947	0.0091	2	63	203	0.0098	0.0308	0.0	1.0	0	65	170	0.0	0.0	0.0	1.0	12421	6013	2047	2	2	2016.9	1751.8	1751.8	0.0	1751.8	109.8	109.8	109.8	0.0	99.7	2016.9	21.1	0
