sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10877	4374	3331	6	6	1871.4	1597.9	1597.9	0.0	1597.9	109.8	109.7	109.7	0.0	99.8	1871.4	19.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	11483	4667	4087	9	9	1955.9	1680.5	1680.5	0.0	1680.5	109.7	109.7	109.8	0.0	99.8	1955.9	21.0	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	23	23	0	352	0	0.0613	1.0	0.0	0.0	0.0	0.9387	0.1156	19	4	186	0.0927	0.8261	0.0	1.0	4	19	166	0.0235	0.1739	0.0	1.0	10663	3999	2318	7	7	1856.6	1584.6	1584.6	0.0	1584.6	109.8	109.8	109.8	0.0	109.8	1856.6	17.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	94	94	0	281	0	0.2507	1.0	0.0	0.0	0.0	0.7493	0.4009	74	20	131	0.361	0.7872	0.0	1.0	20	74	150	0.1176	0.2128	0.0	1.0	11823	5140	3818	9	9	1939.9	1688.1	1688.1	0.0	1688.1	109.7	109.7	99.8	0.0	109.7	1939.9	21.5	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	144	144	0	231	0	0.384	1.0	0.0	0.0	0.0	0.616	0.5549	103	41	102	0.5024	0.7153	0.0	1.0	41	103	129	0.2412	0.2847	0.0	1.0	10468	4644	5459	8	8	1855.9	1582.9	1582.9	0.0	1582.9	109.8	109.7	109.7	0.0	99.8	1855.9	21.2	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10464	4099	2882	6	6	1857.5	1584.8	1584.8	0.0	1584.9	109.8	109.8	109.8	0.0	109.7	1857.5	18.0	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	201	201	0	174	0	0.536	1.0	0.0	0.0	0.0	0.464	0.6979	144	57	61	0.7024	0.7164	0.0	1.0	57	144	113	0.3353	0.2836	0.0	1.0	10814	4377	3144	8	8	1859.8	1607.9	1607.9	0.0	1607.9	109.7	109.7	109.7	0.0	99.8	1859.8	18.9	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	219	219	0	156	0	0.584	1.0	0.0	0.0	0.0	0.416	0.7374	156	63	49	0.761	0.7123	0.0	1.0	63	156	107	0.3706	0.2877	0.0	1.0	11991	5046	9165	11	12	1989.7	1714.3	1714.3	0.0	1714.3	109.8	109.7	109.8	0.0	109.7	1989.7	27.0	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	10551	4975	2864	5	4	1873.4	1593.6	1593.6	0.0	1593.6	109.7	109.7	109.8	0.0	99.7	1873.4	19.0	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	12602	6307	11608	8	8	2031.3	1751.8	1751.8	0.0	1751.9	109.7	109.7	109.8	0.0	99.8	2031.3	31.3	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	30	30	0	345	0	0.08	1.0	0.0	0.0	0.0	0.92	0.1481	26	4	179	0.1268	0.8667	0.0	1.0	4	26	166	0.0235	0.1333	0.0	1.0	11077	5301	3541	6	5	1916.9	1640.5	1640.5	0.0	1640.5	109.7	109.7	99.8	0.0	109.7	1916.9	20.6	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	106	106	0	269	0	0.2827	1.0	0.0	0.0	0.0	0.7173	0.4407	77	29	128	0.3756	0.7264	0.0	1.0	29	77	141	0.1706	0.2736	0.0	1.0	10526	4692	2723	6	5	1834.6	1583.7	1583.7	1583.7	1583.7	109.7	109.7	109.7	99.8	99.8	1834.6	18.5	0
