sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11433	5017	752	0	0	1850.1	1597.9	1597.9	0.0	1597.9	109.7	109.7	109.7	0.0	99.8	1850.1	17.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12146	5201	776	0	0	1932.9	1680.5	1680.5	0.0	1680.5	109.7	109.7	109.7	0.0	99.8	1932.9	18.8	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10940	4738	679	0	0	1836.6	1584.7	1584.7	0.0	1584.7	109.8	109.7	99.8	0.0	99.8	1836.6	17.0	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12065	5513	864	0	0	1980.9	1688.0	1688.0	0.0	1688.0	109.7	109.7	109.7	0.0	99.8	1980.9	19.2	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10963	4304	704	0	0	1873.9	1583.0	1583.0	0.0	1583.1	109.8	109.8	99.8	0.0	99.8	1873.9	16.6	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10857	4675	706	0	0	1863.0	1584.8	1584.8	0.0	1584.8	109.7	109.7	99.8	0.0	99.8	1863.0	16.8	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11095	4692	748	0	0	1870.6	1608.0	1608.0	0.0	1608.0	109.7	109.7	99.8	0.0	109.7	1870.6	17.2	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12234	5821	922	0	0	1966.0	1714.1	1714.1	0.0	1714.1	109.8	109.7	109.7	0.0	99.8	1966.0	19.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10841	5647	768	0	0	1890.8	1593.6	1593.6	0.0	1593.6	109.8	109.7	99.8	0.0	99.8	1890.8	17.9	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12945	7478	1060	0	0	2059.9	1751.9	1751.9	0.0	1751.9	109.8	109.8	99.8	0.0	109.7	2059.9	22.3	0
