sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	335546	97	0.029	54	0	54	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	54	205	0.0	0.0	0.0	1.0	0	54	170	0.0	0.0	0.0	1.0	5482	4737	1288	2379	1	1152.8	993.1	1074.4	1008.4	1008.4	109.8	109.7	109.7	99.8	109.7	1152.8	14.4	0
Sample_15ng_VAF_0p01pc	15ng	0.01	380947	156	0.041	59	3	56	372	0	0.008	0.0508	0.0	1.0	0.9492	0.992	0.0138	3	56	202	0.0146	0.0508	0.0	1.0	0	59	170	0.0	0.0	0.0	1.0	5752	5626	1624	3043	1	1184.0	1051.7	1170.8	1107.2	1107.2	109.7	109.7	99.8	109.7	109.7	1184.0	16.6	0
Sample_15ng_VAF_0p1pc	15ng	0.1	322899	103	0.032	93	32	61	343	0	0.0853	0.3441	0.0	1.0	0.6559	0.9147	0.1368	27	66	178	0.1317	0.2903	0.0	1.0	5	88	165	0.0294	0.0538	0.0	1.0	5327	4569	1150	2578	1	1113.8	976.4	1042.4	977.4	977.4	109.7	109.7	109.7	99.8	99.8	1113.8	14.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	388809	146	0.038	164	104	60	271	0	0.2773	0.6341	0.0	1.0	0.3659	0.7227	0.3859	80	84	125	0.3902	0.4878	0.0	1.0	24	140	146	0.1412	0.1463	0.0	1.0	5848	5746	1939	3553	1	1199.3	1060.5	1198.7	1132.7	1132.7	109.7	109.8	109.7	109.8	99.8	1199.3	17.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	321363	99	0.031	213	156	57	219	0	0.416	0.7324	0.0	1.0	0.2676	0.584	0.5306	113	100	92	0.5512	0.5305	0.0	1.0	43	170	127	0.2529	0.2019	0.0	1.0	5319	4600	1822	2915	1	1115.0	976.3	1045.1	979.2	979.2	109.8	109.7	99.8	109.8	99.8	1115.0	15.2	0
Sample_15ng_VAF_0pc	15ng	0.0	324092	108	0.033	47	0	47	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	47	205	0.0	0.0	0.0	1.0	0	47	170	0.0	0.0	0.0	1.0	5307	4564	1368	2102	1	1127.0	979.0	1045.0	983.0	983.0	109.7	109.7	109.7	109.7	99.8	1127.0	13.9	0
Sample_15ng_VAF_1pc	15ng	1.0	340164	117	0.034	281	210	71	165	0	0.56	0.7473	0.0	1.0	0.2527	0.44	0.6402	150	131	55	0.7317	0.5338	0.0	1.0	60	221	110	0.3529	0.2135	0.0	1.0	5597	5360	1558	3292	1	1126.8	998.3	1082.5	1022.2	1022.2	109.8	109.8	109.8	109.8	99.8	1126.8	16.4	0
Sample_15ng_VAF_2pc	15ng	2.0	402975	132	0.033	309	224	85	151	0	0.5973	0.7249	0.0	1.0	0.2751	0.4027	0.655	161	148	44	0.7854	0.521	0.0	1.0	63	246	107	0.3706	0.2039	0.0	1.0	6065	7209	2366	4078	1	1207.4	1078.6	1230.8	1164.8	1164.8	109.7	109.7	109.7	109.7	99.8	1230.8	20.4	0
Sample_30ng_VAF_0p001pc	30ng	0.001	344394	120	0.035	77	3	74	372	0	0.008	0.039	0.0	1.0	0.961	0.992	0.0133	3	74	202	0.0146	0.039	0.0	1.0	0	77	170	0.0	0.0	0.0	1.0	5602	5361	1792	3200	1	1151.1	1002.2	1106.4	1044.4	1044.4	109.8	109.7	109.7	99.8	109.7	1151.1	16.5	0
Sample_30ng_VAF_0p01pc	30ng	0.01	449391	189	0.042	79	1	78	374	0	0.0027	0.0127	0.0	1.0	0.9873	0.9973	0.0044	1	78	204	0.0049	0.0127	0.0	1.0	0	79	170	0.0	0.0	0.0	1.0	6543	7454	4077	4785	1	1290.7	1267.9	1523.1	1457.1	1457.1	109.7	109.7	109.7	109.8	99.8	1523.1	23.6	0
Sample_30ng_VAF_0p1pc	30ng	0.1	370546	116	0.031	108	35	73	340	0	0.0933	0.3241	0.0	1.0	0.6759	0.9067	0.1449	31	77	174	0.1512	0.287	0.0	1.0	4	104	166	0.0235	0.037	0.0	1.0	5868	5662	1821	3805	1	1163.2	1037.6	1165.1	1099.1	1099.2	109.7	109.7	109.7	109.7	99.8	1165.1	17.7	0
Sample_30ng_VAF_0p25pc	30ng	0.25	337839	108	0.032	163	104	59	271	0	0.2773	0.638	0.0	1.0	0.362	0.7227	0.3866	76	87	129	0.3707	0.4663	0.0	1.0	28	135	142	0.1647	0.1718	0.0	1.0	5679	5367	1562	3397	1	1162.3	992.9	1092.4	1027.4	1027.5	109.8	109.7	109.7	109.8	99.8	1162.3	16.6	0
Sample_30ng_VAF_0p5pc	30ng	0.5	380000	108	0.028	246	174	72	201	0	0.464	0.7073	0.0	1.0	0.2927	0.536	0.5604	126	120	79	0.6146	0.5122	0.0	1.0	48	198	122	0.2824	0.1951	0.0	1.0	5920	6130	2889	4447	1	1205.3	1052.9	1192.7	1126.8	1126.8	109.8	109.7	109.7	109.7	99.8	1205.3	20.0	0
Sample_30ng_VAF_0pc	30ng	0.0	359890	137	0.038	82	0	82	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	82	205	0.0	0.0	0.0	1.0	0	82	170	0.0	0.0	0.0	1.0	5797	5484	1845	3541	1	1174.4	1024.1	1145.7	1079.8	1079.8	109.7	109.7	109.7	109.8	99.7	1174.4	17.3	0
Sample_30ng_VAF_1pc	30ng	1.0	362479	115	0.032	295	211	84	164	0	0.5627	0.7153	0.0	1.0	0.2847	0.4373	0.6299	153	142	52	0.7463	0.5186	0.0	1.0	58	237	112	0.3412	0.1966	0.0	1.0	5784	5593	1893	4138	1	1193.9	1028.0	1148.2	1082.2	1082.2	109.7	109.7	109.7	109.7	99.8	1193.9	18.0	0
