sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	251746	47	0.019	56	0	56	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	56	205	0.0	0.0	0.0	1.0	0	56	170	0.0	0.0	0.0	1.0	2927	3644	1114	1377	1	667.6	671.0	878.1	812.2	746.2	109.7	109.7	109.7	99.8	109.7	878.1	9.5	0
Sample_15ng_VAF_0p01pc	15ng	0.01	271327	82	0.03	56	2	54	373	0	0.0053	0.0357	0.0	1.0	0.9643	0.9947	0.0093	2	54	203	0.0098	0.0357	0.0	1.0	0	56	170	0.0	0.0	0.0	1.0	3023	4167	1253	1380	1	692.6	729.1	934.1	868.1	802.1	109.7	109.7	109.7	99.8	99.8	934.1	10.3	0
Sample_15ng_VAF_0p1pc	15ng	0.1	243705	62	0.025	86	23	63	352	0	0.0613	0.2674	0.0	1.0	0.7326	0.9387	0.0998	19	67	186	0.0927	0.2209	0.0	1.0	4	82	166	0.0235	0.0465	0.0	1.0	2851	3638	1005	1433	1	673.9	660.6	857.7	791.7	725.7	109.7	109.7	109.7	99.8	99.7	857.7	9.4	0
Sample_15ng_VAF_0p25pc	15ng	0.25	274715	79	0.029	146	81	65	294	0	0.216	0.5548	0.0	1.0	0.4452	0.784	0.3109	62	84	143	0.3024	0.4247	0.0	1.0	19	127	151	0.1118	0.1301	0.0	1.0	3063	4172	1433	1611	1	715.1	732.8	947.5	881.5	881.5	109.7	109.7	99.8	99.8	109.7	947.5	10.8	0
Sample_15ng_VAF_0p5pc	15ng	0.5	243511	69	0.028	194	140	54	235	0	0.3733	0.7216	0.0	1.0	0.2784	0.6267	0.4921	103	91	102	0.5024	0.5309	0.0	1.0	37	157	133	0.2176	0.1907	0.0	1.0	2832	3561	1476	1723	1	657.8	661.1	861.5	795.5	795.5	109.8	109.7	109.7	99.8	99.8	861.5	10.1	0
Sample_15ng_VAF_0pc	15ng	0.0	245156	65	0.027	59	1	58	374	0	0.0027	0.0169	0.0	1.0	0.9831	0.9973	0.0046	1	58	204	0.0049	0.0169	0.0	1.0	0	59	170	0.0	0.0	0.0	1.0	2869	3556	1220	1286	1	676.5	663.0	863.7	797.7	731.7	109.8	109.7	109.7	109.8	99.7	863.7	9.4	0
Sample_15ng_VAF_1pc	15ng	1.0	252742	67	0.027	266	201	65	174	0	0.536	0.7556	0.0	1.0	0.2444	0.464	0.6271	145	121	60	0.7073	0.5451	0.0	1.0	56	210	114	0.3294	0.2105	0.0	1.0	2895	3912	1280	1859	1	668.6	672.0	879.9	818.1	752.1	109.7	99.8	109.7	99.8	99.8	879.9	10.4	0
Sample_15ng_VAF_2pc	15ng	2.0	280775	71	0.025	301	214	87	161	0	0.5707	0.711	0.0	1.0	0.289	0.4293	0.6331	157	144	48	0.7659	0.5216	0.0	1.0	57	244	113	0.3353	0.1894	0.0	1.0	3125	4228	1852	1896	1	704.0	740.6	961.5	896.4	896.4	109.8	109.7	109.7	99.8	99.8	961.5	11.6	0
Sample_30ng_VAF_0p001pc	30ng	0.001	257458	70	0.027	62	4	58	371	0	0.0107	0.0645	0.0	1.0	0.9355	0.9893	0.0183	4	58	201	0.0195	0.0645	0.0	1.0	0	62	170	0.0	0.0	0.0	1.0	2979	3962	1483	1689	1	682.6	677.4	904.3	838.3	838.3	109.7	109.7	109.7	109.7	109.7	904.3	10.6	0
Sample_30ng_VAF_0p01pc	30ng	0.01	301539	84	0.028	77	1	76	374	0	0.0027	0.013	0.0	1.0	0.987	0.9973	0.0044	1	76	204	0.0049	0.013	0.0	1.0	0	77	170	0.0	0.0	0.0	1.0	3304	5680	2397	1846	1	730.4	782.6	1025.1	959.1	959.1	109.7	109.8	109.7	99.8	109.7	1025.1	13.8	0
