sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349269	34947	10.006	91	0	91	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	91	205	0.0	0.0	0.0	1.0	0	91	170	0.0	0.0	0.0	1.0	11195	5142	1560	2	2	1923.1	1646.9	1646.9	0.0	1646.9	109.8	109.7	109.7	0.0	109.7	1923.1	18.5	0
Sample_15ng_VAF_0p01pc	15ng	0.01	400874	57469	14.336	92	2	90	373	0	0.0053	0.0217	0.0	1.0	0.9783	0.9947	0.0086	2	90	203	0.0098	0.0217	0.0	1.0	0	92	170	0.0	0.0	0.0	1.0	12054	6266	2069	3	2	2068.2	1760.8	1760.8	0.0	1760.9	109.8	109.8	99.8	0.0	109.8	2068.2	21.2	0
Sample_15ng_VAF_0p1pc	15ng	0.1	327917	40412	12.324	109	24	85	351	0	0.064	0.2202	0.0	1.0	0.7798	0.936	0.0992	20	89	185	0.0976	0.1835	0.0	1.0	4	105	166	0.0235	0.0367	0.0	1.0	11037	4925	1457	2	2	1882.1	1630.2	1630.2	0.0	1630.2	109.8	109.7	99.8	0.0	109.7	1882.1	18.0	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413118	57629	13.95	198	106	92	269	0	0.2827	0.5354	0.0	1.0	0.4646	0.7173	0.37	80	118	125	0.3902	0.404	0.0	1.0	26	172	144	0.1529	0.1313	0.0	1.0	12197	6197	2517	3	3	2054.3	1774.1	1774.2	0.0	1774.2	109.8	109.7	99.8	0.0	109.8	2054.3	21.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	328706	36917	11.231	251	156	95	219	0	0.416	0.6215	0.0	1.0	0.3785	0.584	0.4984	113	138	92	0.5512	0.4502	0.0	1.0	43	208	127	0.2529	0.1713	0.0	1.0	10805	4659	2424	2	2	1891.7	1627.5	1627.5	0.0	1627.6	109.8	109.7	109.7	0.0	109.7	1891.7	18.5	0
Sample_15ng_VAF_0pc	15ng	0.0	331556	37132	11.199	87	1	86	374	0	0.0027	0.0115	0.0	1.0	0.9885	0.9973	0.0043	1	86	204	0.0049	0.0115	0.0	1.0	0	87	170	0.0	0.0	0.0	1.0	10894	4705	1870	2	2	1893.5	1629.6	1629.6	0.0	1629.6	109.8	109.7	99.8	0.0	99.8	1893.5	18.1	0
Sample_15ng_VAF_1pc	15ng	1.0	351739	40750	11.585	305	210	95	165	0	0.56	0.6885	0.0	1.0	0.3115	0.44	0.6176	151	154	54	0.7366	0.4951	0.0	1.0	59	246	111	0.3471	0.1934	0.0	1.0	11124	5080	2003	3	3	1912.9	1661.0	1661.0	0.0	1661.0	109.7	109.7	109.7	0.0	99.7	1912.9	18.8	0
Sample_15ng_VAF_2pc	15ng	2.0	430388	66552	15.463	398	229	169	146	0	0.6107	0.5754	0.0	1.0	0.4246	0.3893	0.5925	163	235	42	0.7951	0.4095	0.0	1.0	66	332	104	0.3882	0.1658	0.0	1.0	12600	6543	3344	4	3	2096.8	1815.4	1815.4	0.0	1815.4	109.8	109.8	109.7	0.0	99.8	2096.8	23.3	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372016	20642	5.549	97	3	94	372	0	0.008	0.0309	0.0	1.0	0.9691	0.992	0.0127	3	94	202	0.0146	0.0309	0.0	1.0	0	97	170	0.0	0.0	0.0	1.0	10951	5917	1966	2	2	1935.5	1641.3	1641.3	0.0	1641.3	109.7	109.7	99.8	0.0	109.7	1935.5	19.5	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523331	47072	8.995	86	4	82	371	0	0.0107	0.0465	0.0	1.0	0.9535	0.9893	0.0174	4	82	201	0.0195	0.0465	0.0	1.0	0	86	170	0.0	0.0	0.0	1.0	13324	8680	5522	3	3	2174.9	1888.2	1888.2	0.0	1888.3	109.7	109.8	109.7	0.0	99.8	2174.9	28.4	0
