sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349269	34947	10.006	37	0	37	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	37	205	0.0	0.0	0.0	1.0	0	37	170	0.0	0.0	0.0	1.0	11157	5097	1588	2	2	1923.1	1646.9	1646.9	0.0	1646.9	109.8	109.8	99.8	0.0	109.8	1923.1	18.5	0
Sample_15ng_VAF_0p01pc	15ng	0.01	400874	57469	14.336	37	0	37	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	37	205	0.0	0.0	0.0	1.0	0	37	170	0.0	0.0	0.0	1.0	12122	5744	2109	2	3	2024.3	1760.9	1760.9	0.0	1760.9	109.8	109.7	109.8	0.0	99.8	2024.3	20.7	0
Sample_15ng_VAF_0p1pc	15ng	0.1	327917	40412	12.324	46	7	39	368	0	0.0187	0.1522	0.0	1.0	0.8478	0.9813	0.0333	6	40	199	0.0293	0.1304	0.0	1.0	1	45	169	0.0059	0.0217	0.0	1.0	10879	4599	1421	2	2	1904.6	1630.1	1630.1	0.0	1630.1	109.8	109.5	109.8	0.0	109.7	1904.6	17.5	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413118	57629	13.95	107	62	45	313	0	0.1653	0.5794	0.0	1.0	0.4206	0.8347	0.2573	48	59	157	0.2341	0.4486	0.0	1.0	14	93	156	0.0824	0.1308	0.0	1.0	12141	5752	2479	3	3	2027.7	1774.2	1774.2	0.0	1774.2	109.7	109.7	109.8	0.0	99.8	2027.7	21.1	0
Sample_15ng_VAF_0p5pc	15ng	0.5	328706	36917	11.231	155	114	41	261	0	0.304	0.7355	0.0	1.0	0.2645	0.696	0.4302	85	70	120	0.4146	0.5484	0.0	1.0	29	126	141	0.1706	0.1871	0.0	1.0	10665	4605	2421	2	2	1903.0	1627.6	1627.6	0.0	1627.6	109.8	109.7	109.8	0.0	99.8	1903.0	18.3	0
Sample_15ng_VAF_0pc	15ng	0.0	331556	37132	11.199	45	0	45	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	45	205	0.0	0.0	0.0	1.0	0	45	170	0.0	0.0	0.0	1.0	10708	4638	1797	2	2	1884.9	1629.6	1629.6	0.0	1629.7	109.8	109.7	109.6	0.0	109.7	1884.9	17.8	0
Sample_15ng_VAF_1pc	15ng	1.0	351739	40750	11.585	248	202	46	173	0	0.5387	0.8145	0.0	1.0	0.1855	0.4613	0.6485	145	103	60	0.7073	0.5847	0.0	1.0	57	191	113	0.3353	0.2298	0.0	1.0	11088	4917	1937	3	2	1936.9	1661.0	1661.0	1661.0	1661.0	109.7	109.6	109.7	109.8	99.8	1936.9	18.6	0
Sample_15ng_VAF_2pc	15ng	2.0	430388	66552	15.463	286	229	57	146	0	0.6107	0.8007	0.0	1.0	0.1993	0.3893	0.6929	163	123	42	0.7951	0.5699	0.0	1.0	66	220	104	0.3882	0.2308	0.0	1.0	12491	6010	3452	4	4	2096.8	1815.4	1815.4	0.0	1815.4	109.8	109.8	109.7	0.0	99.8	2096.8	22.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372016	20642	5.549	47	0	47	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	47	205	0.0	0.0	0.0	1.0	0	47	170	0.0	0.0	0.0	1.0	10778	5514	1924	2	2	1918.0	1641.3	1641.3	0.0	1641.3	109.7	109.7	99.8	0.0	99.8	1918.0	18.8	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523331	47072	8.995	56	1	55	374	0	0.0027	0.0179	0.0	1.0	0.9821	0.9973	0.0046	1	55	204	0.0049	0.0179	0.0	1.0	0	56	170	0.0	0.0	0.0	1.0	13233	7826	5179	3	3	2172.5	1888.3	1888.3	0.0	1888.3	109.8	109.7	109.7	0.0	99.8	2172.5	27.1	0
Sample_30ng_VAF_0p1pc	30ng	0.1	403440	28576	7.083	59	10	49	365	0	0.0267	0.1695	0.0	1.0	0.8305	0.9733	0.0461	9	50	196	0.0439	0.1525	0.0	1.0	1	58	169	0.0059	0.0169	0.0	1.0	11304	5898	1859	2	2	1967.6	1701.4	1701.4	0.0	1701.4	109.7	109.7	99.8	0.0	99.8	1967.6	19.7	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362132	21774	6.013	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10758	0	0	0	0	1905.0	1629.4	0.0	0.0	0.0	109.7	69.8	0.0	0.0	0.0	1905.0	12.2	-6
Sample_30ng_VAF_0p5pc	30ng	0.5	416362	31702	7.614	189	141	48	234	0	0.376	0.746	0.0	1.0	0.254	0.624	0.5	98	91	107	0.478	0.5185	0.0	1.0	43	146	127	0.2529	0.2275	0.0	1.0	11545	6215	3546	3	2	2040.5	1730.2	1730.2	0.0	1730.2	109.8	109.7	109.7	0.0	99.8	2040.5	22.1	0
Sample_30ng_VAF_0pc	30ng	0.0	389798	26436	6.782	53	0	53	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	53	205	0.0	0.0	0.0	1.0	0	53	170	0.0	0.0	0.0	1.0	11141	5892	2107	2	2	1984.9	1679.5	1679.5	0.0	1679.6	109.7	109.7	99.8	0.0	109.7	1984.9	19.9	0
Sample_30ng_VAF_1pc	30ng	1.0	395140	25633	6.487	256	207	49	168	0	0.552	0.8086	0.0	1.0	0.1914	0.448	0.6561	148	108	57	0.722	0.5781	0.0	1.0	59	197	111	0.3471	0.2305	0.0	1.0	11291	5703	2170	3	2	1965.7	1686.2	1686.2	0.0	1686.3	109.8	109.7	99.8	0.0	109.5	1965.7	19.9	0
