sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	223756	28422	12.702	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	5522	3072	774	2	1	1034.8	909.1	909.1	0.0	909.1	109.7	99.8	109.7	0.0	99.7	1034.8	9.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	225959	42415	18.771	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	5858	3328	751	2	1	1067.4	941.6	941.6	0.0	941.7	109.7	109.7	109.7	0.0	99.7	1067.4	10.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	214179	33042	15.427	17	17	0	358	0	0.0453	1.0	0.0	0.0	0.0	0.9547	0.0867	15	2	190	0.0732	0.8824	0.0	1.0	2	15	168	0.0118	0.1176	0.0	1.0	5526	3076	714	2	1	1031.6	906.0	906.0	0.0	906.1	109.7	99.8	109.7	0.0	99.8	1031.6	9.8	0
Sample_15ng_VAF_0p25pc	15ng	0.25	227602	41991	18.449	66	66	0	309	0	0.176	1.0	0.0	0.0	0.0	0.824	0.2993	48	18	157	0.2341	0.7273	0.0	1.0	18	48	152	0.1059	0.2727	0.0	1.0	5879	3248	774	2	1	1089.2	941.7	941.7	0.0	941.7	109.7	109.7	99.8	0.0	99.8	1089.2	10.4	0
Sample_15ng_VAF_0p5pc	15ng	0.5	216384	30326	14.015	126	126	0	249	0	0.336	1.0	0.0	0.0	0.0	0.664	0.503	91	35	114	0.4439	0.7222	0.0	1.0	35	91	135	0.2059	0.2778	0.0	1.0	5438	3044	866	2	1	1031.0	905.0	905.0	0.0	905.1	109.7	109.7	109.7	0.0	109.7	1031.0	9.8	0
Sample_15ng_VAF_0pc	15ng	0.0	217446	30474	14.015	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	5450	3098	763	1	1	1031.6	905.8	905.8	0.0	905.8	109.8	109.8	99.8	0.0	99.8	1031.6	9.8	0
Sample_15ng_VAF_1pc	15ng	1.0	221144	32575	14.73	197	197	0	178	0	0.5253	1.0	0.0	0.0	0.0	0.4747	0.6888	140	57	65	0.6829	0.7107	0.0	1.0	57	140	113	0.3353	0.2893	0.0	1.0	5553	3132	749	2	1	1039.3	913.7	913.7	0.0	913.7	109.8	109.7	99.8	0.0	99.7	1039.3	9.9	0
Sample_15ng_VAF_2pc	15ng	2.0	226775	47187	20.808	225	225	0	150	0	0.6	1.0	0.0	0.0	0.0	0.4	0.75	162	63	43	0.7902	0.72	0.0	1.0	63	162	107	0.3706	0.28	0.0	1.0	5960	3289	1000	3	2	1077.1	951.6	951.6	0.0	951.6	109.8	109.7	99.8	0.0	99.7	1077.1	10.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	238349	16490	6.918	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	5410	3626	824	2	1	1029.6	900.3	900.3	0.0	900.4	109.7	109.7	109.7	0.0	99.7	1029.6	10.3	0
Sample_30ng_VAF_0p01pc	30ng	0.01	245099	30365	12.389	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	6003	3815	1105	2	1	1078.9	937.1	937.2	937.2	937.2	109.7	109.7	99.8	99.8	99.7	1078.9	11.4	0
Sample_30ng_VAF_0p1pc	30ng	0.1	241378	21921	9.082	19	19	0	356	0	0.0507	1.0	0.0	0.0	0.0	0.9493	0.0964	17	2	188	0.0829	0.8947	0.0	1.0	2	17	168	0.0118	0.1053	0.0	1.0	5617	3615	907	2	1	1045.3	917.6	917.6	0.0	917.7	109.8	109.7	99.8	0.0	99.7	1045.3	10.6	0
Sample_30ng_VAF_0p25pc	30ng	0.25	234545	17657	7.528	78	78	0	297	0	0.208	1.0	0.0	0.0	0.0	0.792	0.3444	57	21	148	0.278	0.7308	0.0	1.0	21	57	149	0.1235	0.2692	0.0	1.0	5436	3482	819	2	1	1022.1	897.1	897.1	0.0	897.1	109.8	109.7	99.8	0.0	109.6	1022.1	10.2	0
Sample_30ng_VAF_0p5pc	30ng	0.5	242626	23965	9.877	138	138	0	237	0	0.368	1.0	0.0	0.0	0.0	0.632	0.538	99	39	106	0.4829	0.7174	0.0	1.0	39	99	131	0.2294	0.2826	0.0	1.0	5669	3597	1033	2	1	1052.9	926.5	926.5	0.0	926.5	109.7	109.8	99.8	0.0	99.8	1052.9	10.8	0
Sample_30ng_VAF_0pc	30ng	0.0	240090	20638	8.596	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	5566	3553	816	2	1	1038.9	913.3	913.3	0.0	913.3	109.7	109.7	109.7	0.0	99.8	1038.9	10.4	0
Sample_30ng_VAF_1pc	30ng	1.0	240609	19961	8.296	203	203	0	172	0	0.5413	1.0	0.0	0.0	0.0	0.4587	0.7024	146	57	59	0.7122	0.7192	0.0	1.0	57	146	113	0.3353	0.2808	0.0	1.0	5539	3660	889	3	1	1039.0	913.2	913.2	0.0	913.2	109.8	109.7	99.8	0.0	109.7	1039.0	10.6	0
Sample_30ng_VAF_2pc	30ng	2.0	240825	20253	8.41	215	215	0	160	0	0.5733	1.0	0.0	0.0	0.0	0.4267	0.7288	155	60	50	0.7561	0.7209	0.0	1.0	60	155	110	0.3529	0.2791	0.0	1.0	5535	3460	853	3	1	1039.7	914.0	914.0	0.0	914.1	109.8	109.7	99.8	0.0	99.7	1039.7	10.3	0
Sample_5ng_VAF_0p001pc	5ng	0.001	178411	26062	14.608	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	7153	1867	338	1	1	969.6	844.3	844.3	0.0	844.3	109.8	109.7	99.8	0.0	99.7	969.6	9.7	0
Sample_5ng_VAF_0p01pc	5ng	0.01	185995	25000	13.441	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	7501	1966	304	1	0	985.9	853.8	853.8	0.0	853.8	109.8	99.8	99.8	0.0	99.8	985.9	10.1	0
Sample_5ng_VAF_0p1pc	5ng	0.1	189843	26378	13.895	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	7456	2032	370	1	1	987.8	862.0	862.0	0.0	862.1	109.8	109.7	99.8	0.0	99.8	987.8	10.2	0
Sample_5ng_VAF_0p25pc	5ng	0.25	188880	29410	15.571	15	15	0	360	0	0.04	1.0	0.0	0.0	0.0	0.96	0.0769	9	6	196	0.0439	0.6	0.0	1.0	6	9	164	0.0353	0.4	0.0	1.0	7290	2079	335	1	1	1003.6	865.2	865.2	0.0	865.2	109.8	99.8	109.7	0.0	99.8	1003.6	10.1	0
Sample_5ng_VAF_0p5pc	5ng	0.5	185320	25852	13.95	43	43	0	332	0	0.1147	1.0	0.0	0.0	0.0	0.8853	0.2057	31	12	174	0.1512	0.7209	0.0	1.0	12	31	158	0.0706	0.2791	0.0	1.0	7210	1946	340	1	1	978.7	853.3	853.3	0.0	853.3	109.7	99.8	99.8	0.0	99.8	978.7	9.9	0
Sample_5ng_VAF_0pc	5ng	0.0	173075	19097	11.034	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	7065	1683	263	1	0	949.2	823.8	823.8	0.0	823.8	109.8	109.7	99.8	0.0	99.8	949.2	9.4	0
Sample_5ng_VAF_1pc	5ng	1.0	189651	26561	14.005	116	116	0	259	0	0.3093	1.0	0.0	0.0	0.0	0.6907	0.4725	84	32	121	0.4098	0.7241	0.0	1.0	32	84	138	0.1882	0.2759	0.0	1.0	7100	2012	361	1	1	991.5	859.7	859.7	0.0	859.8	109.8	99.8	99.8	0.0	109.7	991.5	9.9	0
