sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17254	5994	485	1	0	1486.8	0.0	1215.4	0.0	1215.5	109.8	0.0	109.7	0.0	109.7	1486.8	24.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	17776	5679	475	1	0	1537.0	1286.9	1287.0	0.0	1287.1	109.8	99.7	109.7	0.0	109.7	1537.0	24.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	21	21	0	354	0	0.056	1.0	0.0	0.0	0.0	0.944	0.1061	17	4	188	0.0829	0.8095	0.0	1.0	4	17	166	0.0235	0.1905	0.0	1.0	16605	4876	437	1	0	1434.2	1199.6	1199.7	0.0	1199.8	109.7	109.7	109.7	0.0	109.7	1434.2	22.5	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	102	102	0	273	0	0.272	1.0	0.0	0.0	0.0	0.728	0.4277	76	26	129	0.3707	0.7451	0.0	1.0	26	76	144	0.1529	0.2549	0.0	1.0	17992	6111	590	1	1	1546.3	1296.0	1296.1	0.0	1296.1	109.8	99.7	109.7	0.0	99.7	1546.3	25.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	152	152	0	223	0	0.4053	1.0	0.0	0.0	0.0	0.5947	0.5769	107	45	98	0.522	0.7039	0.0	1.0	45	107	125	0.2647	0.2961	0.0	1.0	16795	5145	524	1	1	1429.7	1198.3	1198.5	0.0	1198.5	109.7	99.7	99.8	0.0	99.7	1429.7	23.0	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16740	5348	454	1	0	1470.6	1201.0	1201.1	0.0	1201.2	109.7	89.7	109.7	0.0	99.7	1470.6	23.1	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	214	214	0	161	0	0.5707	1.0	0.0	0.0	0.0	0.4293	0.7267	152	62	53	0.7415	0.7103	0.0	1.0	62	152	108	0.3647	0.2897	0.0	1.0	17423	5155	536	2	1	1458.5	1223.2	1223.3	0.0	1223.6	109.8	99.7	109.7	0.0	109.7	1458.5	23.7	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	238	238	0	137	0	0.6347	1.0	0.0	0.0	0.0	0.3653	0.7765	168	70	37	0.8195	0.7059	0.0	1.0	70	168	100	0.4118	0.2941	0.0	1.0	19064	6309	649	3	2	1597.6	1318.9	1318.9	0.0	1319.0	109.8	99.6	109.7	0.0	99.7	1597.6	26.6	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	18466	5453	519	2	1	1466.6	1218.1	1218.2	0.0	1218.3	109.8	109.7	109.8	0.0	99.7	1466.6	25.0	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	20452	8483	754	2	1	1620.4	1370.4	1502.5	0.0	1370.6	109.8	89.8	109.7	0.0	99.7	1620.4	30.3	0
Sample_30ng_VAF_0p1pc	30ng	0.1	348101	21901	6.292	35	35	0	340	0	0.0933	1.0	0.0	0.0	0.0	0.9067	0.1707	31	4	174	0.1512	0.8857	0.0	1.0	4	31	166	0.0235	0.1143	0.0	1.0	18475	6704	600	2	1	1523.2	1260.0	1260.1	0.0	1260.2	109.8	99.7	109.7	0.0	99.8	1523.2	26.4	0
Sample_30ng_VAF_0p25pc	30ng	0.25	319800	17638	5.515	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	76	31	129	0.3707	0.7103	0.0	1.0	31	76	139	0.1824	0.2897	0.0	1.0	18180	5245	507	1	1	1456.0	1208.5	1208.6	0.0	1208.8	109.8	89.8	109.7	0.0	99.8	1456.0	24.5	0
Sample_30ng_VAF_0p5pc	30ng	0.5	355458	23936	6.734	184	184	0	191	0	0.4907	1.0	0.0	0.0	0.0	0.5093	0.6583	131	53	74	0.639	0.712	0.0	1.0	53	131	117	0.3118	0.288	0.0	1.0	18486	6155	578	2	1	1531.1	1278.5	1278.6	0.0	1278.7	109.8	99.7	109.8	0.0	99.8	1531.1	25.8	0
Sample_30ng_VAF_0pc	30ng	0.0	338767	20613	6.085	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	18909	5604	508	1	1	1481.5	1244.8	1244.8	0.0	1244.9	109.7	99.7	109.7	0.0	109.7	1481.5	25.6	0
