sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	74	0	74	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	74	205	0.0	0.0	0.0	1.0	0	74	170	0.0	0.0	0.0	1.0	17168	4538	2014	9	13	1462.8	1215.3	1247.4	0.0	1247.5	109.8	109.7	109.7	0.0	109.7	1462.8	24.6	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	98	0	97	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	97	205	0.0	0.0	0.0	1.0	0	97	170	0.0	0.0	0.0	1.0	17937	5462	2352	12	16	1513.8	1286.8	1352.9	0.0	1353.1	109.8	109.7	109.7	0.0	109.7	1513.8	26.7	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	110	11	99	364	0	0.0293	0.1	0.0	1.0	0.9	0.9707	0.0454	8	102	197	0.039	0.0727	0.0	1.0	3	107	167	0.0176	0.0273	0.0	1.0	16679	4301	1763	11	16	1436.3	1199.6	1211.3	1211.4	1211.4	109.8	109.8	99.8	99.8	109.7	1436.3	23.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	182	51	131	324	0	0.136	0.2802	0.0	1.0	0.7198	0.864	0.1831	35	147	170	0.1707	0.1923	0.0	1.0	16	166	154	0.0941	0.0879	0.0	1.0	18095	5193	2250	15	23	1546.3	1296.1	1381.9	0.0	1382.0	109.8	109.7	109.7	0.0	109.7	1546.3	26.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	137	57	80	318	0	0.152	0.4161	0.0	1.0	0.5839	0.848	0.2227	39	98	166	0.1902	0.2847	0.0	1.0	18	119	152	0.1059	0.1314	0.0	1.0	16849	4300	2454	11	16	1453.8	1198.4	1215.9	0.0	1216.1	109.7	109.7	109.7	0.0	99.8	1453.8	24.5	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	87	0	85	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	85	205	0.0	0.0	0.0	1.0	0	85	170	0.0	0.0	0.0	1.0	16952	4565	2072	9	13	1470.6	1201.1	1218.8	0.0	1218.9	109.8	109.7	109.7	0.0	99.8	1470.6	24.5	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	235	126	109	249	0	0.336	0.5362	0.0	1.0	0.4638	0.664	0.4131	93	142	112	0.4537	0.3957	0.0	1.0	33	202	137	0.1941	0.1404	0.0	1.0	17326	5457	2279	13	19	1458.6	1223.4	1262.9	0.0	1262.9	109.7	109.7	109.7	0.0	99.8	1458.6	26.0	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	373	198	174	177	0	0.528	0.5323	0.0	1.0	0.4677	0.472	0.5301	141	231	64	0.6878	0.379	0.0	1.0	57	315	113	0.3353	0.1532	0.0	1.0	18776	6328	2989	18	47	1592.6	1318.7	1415.7	0.0	1415.8	109.8	109.7	99.8	0.0	109.7	1592.6	29.2	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	63	1	62	374	0	0.0027	0.0159	0.0	1.0	0.9841	0.9973	0.0046	1	62	204	0.0049	0.0159	0.0	1.0	0	63	170	0.0	0.0	0.0	1.0	18139	6858	2534	14	42	1447.1	1218.0	1295.8	0.0	1295.9	109.8	109.7	99.8	0.0	99.8	1447.1	28.6	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	91	0	91	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	91	205	0.0	0.0	0.0	1.0	0	91	170	0.0	0.0	0.0	1.0	20469	7357	3580	23	33	1658.2	1398.4	1864.4	0.0	1732.5	109.8	109.8	109.8	0.0	109.8	1864.4	32.6	0
