sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	332	0	316	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	316	205	0.0	0.0	0.0	1.0	0	316	170	0.0	0.0	0.0	1.0	17299	4954	561	1	0	1450.9	1215.3	1215.4	0.0	1215.5	109.8	109.7	99.8	0.0	99.7	1450.9	23.4	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	364	1	350	374	0	0.0027	0.0028	0.0	1.0	0.9972	0.9973	0.0028	1	350	204	0.0049	0.0028	0.0	1.0	0	351	170	0.0	0.0	0.0	1.0	17899	5451	491	1	0	1534.7	1286.9	1287.0	0.0	1287.1	109.7	109.7	99.8	0.0	99.7	1534.7	24.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	341	21	308	354	0	0.056	0.0638	0.0	1.0	0.9362	0.944	0.0597	17	312	188	0.0829	0.0517	0.0	1.0	4	325	166	0.0235	0.0122	0.0	1.0	16875	4926	432	1	0	1445.5	1199.5	1199.7	0.0	1199.8	109.8	109.7	99.8	0.0	99.7	1445.5	22.8	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	552	102	427	273	0	0.272	0.1928	0.0	1.0	0.8072	0.728	0.2257	76	453	129	0.3707	0.1437	0.0	1.0	26	503	144	0.1529	0.0491	0.0	1.0	18420	5748	527	1	1	1532.9	1296.2	1296.2	0.0	1296.3	109.8	109.8	99.8	0.0	109.7	1532.9	25.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	522	152	351	223	0	0.4053	0.3022	0.0	1.0	0.6978	0.5947	0.3462	107	396	98	0.522	0.2127	0.0	1.0	45	458	125	0.2647	0.0895	0.0	1.0	16944	4957	561	1	1	1457.7	1198.6	1198.7	0.0	1198.8	109.8	109.7	99.7	0.0	109.7	1457.7	23.0	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	316	0	304	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	304	205	0.0	0.0	0.0	1.0	0	304	170	0.0	0.0	0.0	1.0	16887	4905	548	1	1	1436.8	1201.1	1201.2	0.0	1201.3	109.8	109.7	99.7	0.0	99.8	1436.8	22.9	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	620	214	368	161	0	0.5707	0.3677	0.0	1.0	0.6323	0.4293	0.4472	152	430	53	0.7415	0.2612	0.0	1.0	62	520	108	0.3647	0.1065	0.0	1.0	17505	4974	554	1	1	1452.6	1223.3	1223.3	0.0	1223.4	109.8	109.7	99.8	0.0	99.8	1452.6	23.6	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	835	238	551	137	0	0.6347	0.3016	0.0	1.0	0.6984	0.3653	0.4089	168	621	37	0.8195	0.2129	0.0	1.0	70	719	100	0.4118	0.0887	0.0	1.0	19007	5691	655	2	2	1569.8	1318.9	1318.9	0.0	1319.0	109.8	109.7	99.7	0.0	99.7	1569.8	25.9	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	472	3	441	372	0	0.008	0.0068	0.0	1.0	0.9932	0.992	0.0073	3	441	202	0.0146	0.0068	0.0	1.0	0	444	170	0.0	0.0	0.0	1.0	18226	5900	547	1	1	1441.4	1218.2	1218.3	0.0	1218.4	109.7	109.7	99.8	0.0	99.8	1441.4	25.3	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	603	3	597	372	0	0.008	0.005	0.0	1.0	0.995	0.992	0.0062	3	597	202	0.0146	0.005	0.0	1.0	0	600	170	0.0	0.0	0.0	1.0	20736	8411	736	1	1	1611.6	1370.5	1502.6	0.0	1370.6	109.8	109.7	109.7	0.0	99.7	1611.6	30.5	0
