sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17509	5663	526	0	0	1455.0	1219.5	1219.5	0.0	1219.7	109.8	99.7	109.8	0.0	109.7	1455.0	24.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	17857	6436	490	0	0	1553.5	0.0	1291.0	0.0	1291.2	109.8	0.0	109.7	0.0	99.7	1553.5	25.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	21	21	0	354	0	0.056	1.0	0.0	0.0	0.0	0.944	0.1061	17	4	188	0.0829	0.8095	0.0	1.0	4	17	166	0.0235	0.1905	0.0	1.0	16720	4812	446	0	0	1427.0	1203.6	1203.6	0.0	1203.8	109.7	99.7	109.7	0.0	109.6	1427.0	22.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	103	103	0	272	0	0.2747	1.0	0.0	0.0	0.0	0.7253	0.431	78	25	127	0.3805	0.7573	0.0	1.0	25	78	145	0.1471	0.2427	0.0	1.0	18140	7199	651	1	0	1577.2	0.0	1299.9	0.0	1300.2	109.7	0.0	109.8	0.0	99.7	1577.2	26.6	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	151	151	0	224	0	0.4027	1.0	0.0	0.0	0.0	0.5973	0.5741	109	42	96	0.5317	0.7219	0.0	1.0	42	109	128	0.2471	0.2781	0.0	1.0	16936	5531	561	1	0	1437.9	1202.5	1202.5	0.0	1202.7	109.8	99.7	109.7	0.0	99.7	1437.9	23.6	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16797	4731	455	0	0	1440.4	1205.1	1205.1	0.0	1205.3	109.8	109.7	109.7	0.0	99.8	1440.4	22.5	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	214	214	0	161	0	0.5707	1.0	0.0	0.0	0.0	0.4293	0.7267	154	60	51	0.7512	0.7196	0.0	1.0	60	154	110	0.3529	0.2804	0.0	1.0	17439	5749	515	1	1	1498.5	1227.2	1227.3	0.0	1227.4	109.7	99.7	109.7	0.0	109.7	1498.5	24.3	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	235	235	0	140	0	0.6267	1.0	0.0	0.0	0.0	0.3733	0.7705	168	67	37	0.8195	0.7149	0.0	1.0	67	168	103	0.3941	0.2851	0.0	1.0	18869	5960	722	1	0	1573.7	1322.9	1322.9	0.0	1323.1	109.7	89.7	109.7	0.0	109.6	1573.7	26.2	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	18234	6113	567	0	0	1451.2	1222.1	1222.1	0.0	1222.4	109.7	99.7	109.7	0.0	99.7	1451.2	25.5	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	20695	8804	725	1	0	1629.5	1374.4	1506.4	0.0	1506.6	109.8	99.6	109.7	0.0	99.8	1629.5	30.9	0
