sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	77	0	77	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	77	205	0.0	0.0	0.0	1.0	0	77	170	0.0	0.0	0.0	1.0	17051	4592	1693	1	1	1468.6	1215.4	1235.4	0.0	1235.6	109.7	109.7	99.8	0.0	109.7	1468.6	24.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	75	1	74	374	0	0.0027	0.0133	0.0	1.0	0.9867	0.9973	0.0044	1	74	204	0.0049	0.0133	0.0	1.0	0	75	170	0.0	0.0	0.0	1.0	17542	5163	1564	1	1	1563.4	1287.0	1337.9	0.0	1338.0	109.7	109.7	109.7	0.0	99.8	1563.4	25.1	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	88	22	66	353	0	0.0587	0.25	0.0	1.0	0.75	0.9413	0.095	18	70	187	0.0878	0.2045	0.0	1.0	4	84	166	0.0235	0.0455	0.0	1.0	16717	4781	1332	1	1	1422.9	1199.6	1199.6	0.0	1199.7	109.7	109.7	99.8	0.0	99.7	1422.9	23.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	179	103	76	272	0	0.2747	0.5754	0.0	1.0	0.4246	0.7253	0.3718	78	101	127	0.3805	0.4358	0.0	1.0	25	154	145	0.1471	0.1397	0.0	1.0	17889	5877	1686	1	1	1546.1	1295.9	1367.6	0.0	1367.8	109.8	109.7	109.7	0.0	99.8	1546.1	26.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	222	151	71	224	0	0.4027	0.6802	0.0	1.0	0.3198	0.5973	0.5059	109	113	96	0.5317	0.491	0.0	1.0	42	180	128	0.2471	0.1892	0.0	1.0	16982	4432	1644	1	1	1445.3	1198.6	1203.5	0.0	1203.6	109.8	109.7	109.7	0.0	99.8	1445.3	23.9	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	61	0	61	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	61	205	0.0	0.0	0.0	1.0	0	61	170	0.0	0.0	0.0	1.0	16608	4417	1538	1	1	1424.7	1201.0	1206.9	0.0	1207.1	109.8	109.7	99.8	0.0	99.7	1424.7	23.4	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	287	214	73	161	0	0.5707	0.7456	0.0	1.0	0.2544	0.4293	0.6465	154	133	51	0.7512	0.5366	0.0	1.0	60	227	110	0.3529	0.2091	0.0	1.0	17197	4852	1585	1	1	1470.5	1223.3	1250.4	0.0	1250.5	109.8	109.7	109.7	0.0	99.8	1470.5	24.4	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	323	235	88	140	0	0.6267	0.7276	0.0	1.0	0.2724	0.3733	0.6734	168	155	37	0.8195	0.5201	0.0	1.0	67	256	103	0.3941	0.2074	0.0	1.0	18634	5766	2169	2	2	1559.6	1318.7	1402.1	0.0	1402.2	109.7	109.7	99.8	0.0	109.7	1559.6	27.6	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	102	3	99	372	0	0.008	0.0294	0.0	1.0	0.9706	0.992	0.0126	3	99	202	0.0146	0.0294	0.0	1.0	0	102	170	0.0	0.0	0.0	1.0	18185	5923	1920	1	1	1466.4	1218.2	1283.0	0.0	1283.0	109.8	109.7	109.7	0.0	99.8	1466.4	27.0	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	110	1	109	374	0	0.0027	0.0091	0.0	1.0	0.9909	0.9973	0.0041	1	109	204	0.0049	0.0091	0.0	1.0	0	110	170	0.0	0.0	0.0	1.0	20545	7465	3324	2	2	1609.1	1430.2	1782.6	0.0	1782.7	109.8	109.7	109.7	0.0	99.7	1782.7	32.5	0
Sample_30ng_VAF_0p1pc	30ng	0.1	348101	21901	6.292	136	34	102	341	0	0.0907	0.25	0.0	1.0	0.75	0.9093	0.1331	30	106	175	0.1463	0.2206	0.0	1.0	4	132	166	0.0235	0.0294	0.0	1.0	18350	6460	1932	1	2	1534.6	1259.9	1339.8	0.0	1339.9	109.7	109.8	109.7	0.0	109.7	1534.6	27.7	0
Sample_30ng_VAF_0p25pc	30ng	0.25	319800	17638	5.515	179	107	72	268	0	0.2853	0.5978	0.0	1.0	0.4022	0.7147	0.3863	78	101	127	0.3805	0.4358	0.0	1.0	29	150	141	0.1706	0.162	0.0	1.0	18303	6515	1872	1	2	1455.9	1208.6	1263.6	0.0	1263.8	109.7	109.7	99.8	0.0	109.7	1455.9	27.6	0
