sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	25	0	25	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	25	205	0.0	0.0	0.0	1.0	0	25	170	0.0	0.0	0.0	1.0	17209	5573	1488	1	1	1450.8	1215.3	1235.5	0.0	1235.5	109.8	109.7	109.7	0.0	99.8	1450.8	25.1	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	29	0	29	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	29	205	0.0	0.0	0.0	1.0	0	29	170	0.0	0.0	0.0	1.0	17720	5737	1988	1	1	1517.1	1286.8	1337.8	0.0	1337.9	109.8	109.7	109.7	0.0	99.8	1517.1	26.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	37	10	27	365	0	0.0267	0.2703	0.0	1.0	0.7297	0.9733	0.0485	7	30	198	0.0341	0.1892	0.0	1.0	3	34	167	0.0176	0.0811	0.0	1.0	16826	5084	1364	1	1	1427.7	1199.7	1199.8	0.0	1199.9	109.7	109.7	99.8	0.0	109.7	1427.7	24.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	76	50	26	325	0	0.1333	0.6579	0.0	1.0	0.3421	0.8667	0.2217	35	41	170	0.1707	0.4605	0.0	1.0	15	61	155	0.0882	0.1974	0.0	1.0	18324	6267	1855	1	2	1556.1	1296.1	1367.8	0.0	1368.0	109.7	109.7	99.8	0.0	109.7	1556.1	27.4	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	76	58	18	317	0	0.1547	0.7632	0.0	1.0	0.2368	0.8453	0.2572	39	37	166	0.1902	0.5132	0.0	1.0	19	57	151	0.1118	0.25	0.0	1.0	16774	4900	1586	1	1	1445.1	1198.5	1203.4	0.0	1203.6	109.8	109.7	99.8	0.0	109.7	1445.1	24.1	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	20	0	20	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	20	205	0.0	0.0	0.0	1.0	0	20	170	0.0	0.0	0.0	1.0	16636	4961	1609	1	1	1435.6	1201.1	1207.1	0.0	1207.1	109.7	109.7	109.7	0.0	109.7	1435.6	24.0	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	154	126	28	249	0	0.336	0.8182	0.0	1.0	0.1818	0.664	0.4764	93	61	112	0.4537	0.6039	0.0	1.0	33	121	137	0.1941	0.2143	0.0	1.0	17348	4713	1690	2	1	1487.6	1223.2	1250.3	0.0	1250.4	109.8	109.6	99.8	0.0	109.7	1487.6	24.6	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	227	199	28	176	0	0.5307	0.8767	0.0	1.0	0.1233	0.4693	0.6611	141	86	64	0.6878	0.6211	0.0	1.0	58	169	112	0.3412	0.2555	0.0	1.0	18937	6320	2126	2	2	1549.0	1318.9	1402.3	0.0	1402.3	109.8	109.7	109.7	0.0	109.7	1549.0	28.3	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	22	1	21	374	0	0.0027	0.0455	0.0	1.0	0.9545	0.9973	0.005	1	21	204	0.0049	0.0455	0.0	1.0	0	22	170	0.0	0.0	0.0	1.0	18180	5753	1741	1	1	1466.5	1218.2	1283.1	0.0	1283.1	109.7	109.7	99.8	0.0	109.7	1466.5	26.6	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	33	0	33	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	33	205	0.0	0.0	0.0	1.0	0	33	170	0.0	0.0	0.0	1.0	20689	7682	2938	2	2	1625.6	1370.6	1782.7	0.0	1782.8	109.8	109.7	109.7	0.0	109.7	1782.8	32.4	0
