sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	121172	17077	14.093	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	2611	2188	486	1	0	536.0	473.4	481.1	0.0	481.1	109.7	109.7	99.8	0.0	99.7	536.0	5.7	0
Sample_15ng_VAF_0p01pc	15ng	0.01	117248	23312	19.883	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	2730	2144	419	1	0	544.0	481.4	481.9	0.0	482.0	99.8	109.7	99.8	0.0	99.8	544.0	5.7	0
Sample_15ng_VAF_0p1pc	15ng	0.1	120036	20045	16.699	6	6	0	369	0	0.016	1.0	0.0	0.0	0.0	0.984	0.0315	5	1	200	0.0244	0.8333	0.0	1.0	1	5	169	0.0059	0.1667	0.0	1.0	2661	2044	435	1	0	540.5	477.9	484.2	0.0	484.2	109.7	109.7	109.7	0.0	99.7	540.5	5.5	0
Sample_15ng_VAF_0p25pc	15ng	0.25	116343	22512	19.35	31	31	0	344	0	0.0827	1.0	0.0	0.0	0.0	0.9173	0.1527	23	8	182	0.1122	0.7419	0.0	1.0	8	23	162	0.0471	0.2581	0.0	1.0	2774	1966	430	1	0	540.5	478.0	482.2	0.0	482.3	109.7	99.8	109.7	0.0	99.7	540.5	5.6	0
Sample_15ng_VAF_0p5pc	15ng	0.5	120819	18615	15.407	72	72	0	303	0	0.192	1.0	0.0	0.0	0.0	0.808	0.3221	49	23	156	0.239	0.6806	0.0	1.0	23	49	147	0.1353	0.3194	0.0	1.0	2678	2137	550	1	1	539.6	476.8	486.0	0.0	486.0	109.8	109.8	99.8	0.0	109.8	539.6	5.8	0
Sample_15ng_VAF_0pc	15ng	0.0	120889	18609	15.393	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	2653	1994	478	1	0	543.6	476.5	484.5	0.0	484.5	109.7	99.8	109.7	0.0	99.7	543.6	5.5	0
Sample_15ng_VAF_1pc	15ng	1.0	119805	19233	16.054	154	154	0	221	0	0.4107	1.0	0.0	0.0	0.0	0.5893	0.5822	114	40	91	0.5561	0.7403	0.0	1.0	40	114	130	0.2353	0.2597	0.0	1.0	2658	2024	465	2	1	540.1	475.8	484.8	0.0	484.8	109.7	109.7	109.7	0.0	99.7	540.1	5.5	0
Sample_15ng_VAF_2pc	15ng	2.0	114792	24845	21.643	198	198	0	177	0	0.528	1.0	0.0	0.0	0.0	0.472	0.6911	147	51	58	0.7171	0.7424	0.0	1.0	51	147	119	0.3	0.2576	0.0	1.0	2683	1905	570	2	1	543.5	481.0	484.3	0.0	484.4	109.7	99.8	99.8	0.0	99.8	543.5	5.5	0
Sample_30ng_VAF_0p001pc	30ng	0.001	123109	9605	7.802	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	2552	2260	486	1	0	529.9	459.1	475.4	0.0	475.4	109.7	109.7	99.8	0.0	99.8	529.9	5.7	0
Sample_30ng_VAF_0p01pc	30ng	0.01	110561	14306	12.939	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	2670	1843	486	1	0	514.3	452.1	452.9	0.0	452.9	109.7	99.8	109.7	0.0	99.8	514.3	5.4	0
Sample_30ng_VAF_0p1pc	30ng	0.1	120753	12252	10.146	6	6	0	369	0	0.016	1.0	0.0	0.0	0.0	0.984	0.0315	5	1	200	0.0244	0.8333	0.0	1.0	1	5	169	0.0059	0.1667	0.0	1.0	2631	2129	467	1	0	525.1	462.5	472.4	0.0	472.5	109.8	99.8	99.7	0.0	99.7	525.1	5.6	0
Sample_30ng_VAF_0p25pc	30ng	0.25	122838	10394	8.462	33	33	0	342	0	0.088	1.0	0.0	0.0	0.0	0.912	0.1618	24	9	181	0.1171	0.7273	0.0	1.0	9	24	161	0.0529	0.2727	0.0	1.0	2549	2139	503	1	1	530.5	459.8	475.9	0.0	476.0	109.8	109.7	99.8	0.0	99.7	530.5	5.6	0
Sample_30ng_VAF_0p5pc	30ng	0.5	120894	13028	10.776	72	72	0	303	0	0.192	1.0	0.0	0.0	0.0	0.808	0.3221	51	21	154	0.2488	0.7083	0.0	1.0	21	51	149	0.1235	0.2917	0.0	1.0	2596	2119	533	1	1	529.4	466.3	477.2	0.0	477.2	99.8	109.6	99.8	0.0	99.8	529.4	5.6	0
Sample_30ng_VAF_0pc	30ng	0.0	121813	11552	9.483	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	2554	2151	481	1	0	529.1	462.4	475.5	0.0	475.5	109.7	99.8	99.8	0.0	99.8	529.1	5.6	0
