sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	350790	36646	10.447	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	28533	5984	1459	3	3	4006.5	3354.1	3354.1	0.0	3354.1	113.0	109.7	99.8	0.0	109.7	4006.5	36.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	410661	63164	15.381	4	4	0	371	0	0.0107	1.0	0.0	0.0	0.0	0.9893	0.0211	4	0	201	0.0195	1.0	0.0	0.0	0	4	170	0.0	0.0	0.0	1.0	29864	7072	1656	4	3	4135.4	3487.4	3487.4	0.0	3487.5	109.8	109.7	109.7	0.0	99.7	4135.4	39.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	329048	42328	12.864	24	24	0	351	0	0.064	1.0	0.0	0.0	0.0	0.936	0.1203	20	4	185	0.0976	0.8333	0.0	1.0	4	20	166	0.0235	0.1667	0.0	1.0	28050	6153	1436	4	3	3982.6	3335.3	3335.3	0.0	3335.3	109.7	109.8	99.7	0.0	99.8	3982.6	36.5	0
Sample_15ng_VAF_0p25pc	15ng	0.25	423970	63703	15.025	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	80	27	125	0.3902	0.7477	0.0	1.0	27	80	143	0.1588	0.2523	0.0	1.0	30181	7512	1825	5	4	4139.8	3499.7	3499.7	0.0	3499.7	109.7	109.7	99.8	0.0	109.7	4139.8	40.4	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329266	38603	11.724	155	155	0	220	0	0.4133	1.0	0.0	0.0	0.0	0.5867	0.5849	113	42	92	0.5512	0.729	0.0	1.0	42	113	128	0.2471	0.271	0.0	1.0	27483	5522	1766	4	3	3972.0	3337.1	3337.1	0.0	3337.1	109.8	99.8	99.8	0.0	109.7	3972.0	35.6	0
Sample_15ng_VAF_0pc	15ng	0.0	332218	38870	11.7	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	26718	5743	1378	3	3	3992.4	3335.9	3335.9	0.0	3335.9	109.7	109.7	99.8	0.0	109.7	3992.4	34.7	0
Sample_15ng_VAF_1pc	15ng	1.0	354133	43006	12.144	210	210	0	165	0	0.56	1.0	0.0	0.0	0.0	0.44	0.7179	151	59	54	0.7366	0.719	0.0	1.0	59	151	111	0.3471	0.281	0.0	1.0	27790	6265	1530	4	3	4050.8	3369.2	3369.2	0.0	3369.2	109.8	109.7	109.7	0.0	109.7	4050.8	36.4	0
Sample_15ng_VAF_2pc	15ng	2.0	444740	75350	16.942	229	229	0	146	0	0.6107	1.0	0.0	0.0	0.0	0.3893	0.7583	164	65	41	0.8	0.7162	0.0	1.0	65	164	105	0.3824	0.2838	0.0	1.0	30839	7599	2464	6	4	4213.8	3550.7	3550.7	0.0	3550.7	109.8	109.7	109.7	0.0	99.8	4213.8	41.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	373422	21693	5.809	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	27080	6846	1401	3	1	3974.0	3339.9	3339.9	0.0	3340.0	109.8	109.7	99.8	0.0	99.8	3974.0	36.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	548997	55768	10.158	6	6	0	369	0	0.016	1.0	0.0	0.0	0.0	0.984	0.0315	6	0	199	0.0293	1.0	0.0	0.0	0	6	170	0.0	0.0	0.0	1.0	33003	10188	3036	4	2	4297.2	3629.7	3629.7	0.0	3629.8	109.8	109.8	109.7	0.0	99.8	4297.2	47.2	0
