sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10844	4182	1516	3	2	1892.9	1598.0	1598.0	0.0	1598.0	109.7	109.7	109.7	0.0	99.8	1892.9	17.1	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	11484	4691	1694	4	3	1956.0	1680.5	1680.5	0.0	1680.5	109.8	109.7	99.8	0.0	99.8	1956.0	18.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	23	23	0	352	0	0.0613	1.0	0.0	0.0	0.0	0.9387	0.1156	19	4	186	0.0927	0.8261	0.0	1.0	4	19	166	0.0235	0.1739	0.0	1.0	10658	3943	1246	3	3	1856.6	1584.6	1584.6	0.0	1584.6	109.7	109.7	99.8	0.0	99.8	1856.6	16.4	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	99	99	0	276	0	0.264	1.0	0.0	0.0	0.0	0.736	0.4177	76	23	129	0.3707	0.7677	0.0	1.0	23	76	147	0.1353	0.2323	0.0	1.0	11667	5079	1798	4	3	1963.5	1688.1	1688.1	1688.1	1688.1	109.8	109.7	109.7	99.8	109.7	1963.5	19.2	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	149	149	0	226	0	0.3973	1.0	0.0	0.0	0.0	0.6027	0.5687	107	42	98	0.522	0.7181	0.0	1.0	42	107	128	0.2471	0.2819	0.0	1.0	10419	3993	1850	4	3	1835.7	1583.0	1583.0	0.0	1583.0	109.7	109.7	99.8	0.0	99.8	1835.7	16.8	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10589	4170	1398	3	2	1855.6	1584.8	1584.8	0.0	1584.8	109.7	109.7	99.8	0.0	99.8	1855.6	16.7	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	206	206	0	169	0	0.5493	1.0	0.0	0.0	0.0	0.4507	0.7091	148	58	57	0.722	0.7184	0.0	1.0	58	148	112	0.3412	0.2816	0.0	1.0	10749	4373	1502	4	3	1887.5	1608.0	1608.0	0.0	1608.0	109.7	109.7	109.8	0.0	99.8	1887.5	17.2	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	225	225	0	150	0	0.6	1.0	0.0	0.0	0.0	0.4	0.75	160	65	45	0.7805	0.7111	0.0	1.0	65	160	105	0.3824	0.2889	0.0	1.0	12066	4894	3132	5	4	1990.2	1714.2	1714.2	0.0	1714.3	109.7	109.7	109.5	0.0	99.8	1990.2	20.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	10582	4882	1535	3	3	1867.6	1593.6	1593.6	0.0	1593.6	109.7	109.7	99.8	0.0	99.7	1867.6	17.6	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	12517	6339	4114	4	3	2031.4	1751.9	1751.9	0.0	1751.9	109.7	109.7	109.7	0.0	109.8	2031.4	23.8	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	29	29	0	346	0	0.0773	1.0	0.0	0.0	0.0	0.9227	0.1436	25	4	180	0.122	0.8621	0.0	1.0	4	25	166	0.0235	0.1379	0.0	1.0	11067	5353	1645	3	3	1916.8	1640.4	1640.4	0.0	1640.4	109.7	109.7	99.8	0.0	109.7	1916.8	18.7	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	109	109	0	266	0	0.2907	1.0	0.0	0.0	0.0	0.7093	0.4504	80	29	125	0.3902	0.7339	0.0	1.0	29	80	141	0.1706	0.2661	0.0	1.0	10542	4689	1343	3	2	1879.5	1583.8	1583.8	0.0	1583.8	109.7	109.7	99.8	0.0	109.7	1879.5	17.2	0
Sample_30ng_VAF_0p5pc	30ng	0.5	362040	31702	8.756	172	172	0	203	0	0.4587	1.0	0.0	0.0	0.0	0.5413	0.6289	123	49	82	0.6	0.7151	0.0	1.0	49	123	121	0.2882	0.2849	0.0	1.0	11227	5249	2535	4	3	1913.8	1660.5	1660.5	0.0	1660.5	109.7	109.7	99.8	0.0	99.8	1913.8	19.6	0
Sample_30ng_VAF_0pc	30ng	0.0	346643	26436	7.626	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10868	5163	1612	3	2	1899.8	1624.2	1624.2	0.0	1624.2	109.8	109.8	109.7	0.0	99.8	1899.8	18.3	0
Sample_30ng_VAF_1pc	30ng	1.0	349652	25633	7.331	210	210	0	165	0	0.56	1.0	0.0	0.0	0.0	0.44	0.7179	150	60	55	0.7317	0.7143	0.0	1.0	60	150	110	0.3529	0.2857	0.0	1.0	10971	4997	1661	4	2	1904.3	1627.9	1627.9	0.0	1627.9	109.7	109.7	99.8	0.0	99.8	1904.3	18.3	0
Sample_30ng_VAF_2pc	30ng	2.0	351632	26230	7.46	218	218	0	157	0	0.5813	1.0	0.0	0.0	0.0	0.4187	0.7352	154	64	51	0.7512	0.7064	0.0	1.0	64	154	106	0.3765	0.2936	0.0	1.0	11008	5299	1653	4	3	1890.2	1631.9	1631.9	0.0	1631.9	109.7	109.7	109.7	0.0	99.8	1890.2	18.6	0
Sample_5ng_VAF_0p001pc	5ng	0.001	346394	32088	9.263	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16671	3340	609	2	2	1931.9	1633.2	1633.2	0.0	1633.2	109.8	104.6	99.8	0.0	109.7	1931.9	21.2	0
Sample_5ng_VAF_0p01pc	5ng	0.01	371322	31531	8.492	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17708	3352	570	2	2	1945.5	1667.9	1667.9	0.0	1668.0	109.7	109.7	99.7	0.0	109.7	1945.5	22.2	0
Sample_5ng_VAF_0p1pc	5ng	0.1	365013	33282	9.118	4	4	0	371	0	0.0107	1.0	0.0	0.0	0.0	0.9893	0.0211	4	0	201	0.0195	1.0	0.0	0.0	0	4	170	0.0	0.0	0.0	1.0	17362	3345	757	3	2	1966.8	1664.4	1664.4	0.0	1664.4	109.7	109.7	99.8	0.0	99.7	1966.8	22.1	0
Sample_5ng_VAF_0p25pc	5ng	0.25	358335	37306	10.411	24	24	0	351	0	0.064	1.0	0.0	0.0	0.0	0.936	0.1203	17	7	188	0.0829	0.7083	0.0	1.0	7	17	163	0.0412	0.2917	0.0	1.0	16596	3409	590	3	2	1936.8	1660.9	1660.9	0.0	1660.9	109.8	99.8	109.7	0.0	99.7	1936.8	21.2	0
Sample_5ng_VAF_0p5pc	5ng	0.5	361035	32167	8.91	63	63	0	312	0	0.168	1.0	0.0	0.0	0.0	0.832	0.2877	46	17	159	0.2244	0.7302	0.0	1.0	17	46	153	0.1	0.2698	0.0	1.0	16714	3325	608	3	2	1918.0	1654.0	1654.0	1654.1	1654.1	109.8	109.7	99.8	99.8	99.8	1918.0	21.3	0
