sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	70	0	70	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	70	205	0.0	0.0	0.0	1.0	0	70	170	0.0	0.0	0.0	1.0	0	70	375	0.0	0.0	0.0	0	70	205	0.0	0	70	170	0.0	36692	5169	374	16	0	2513.9	2024.1	2024.1	0.0	2035.0	109.7	109.7	99.7	0.0	99.8	2513.9	42.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	68	1	67	374	0	0.0027	0.0147	0.0	1.0	0.9853	0.9973	0.0045	1	67	204	0.0049	0.0147	0.0	1.0	0	68	170	0.0	0.0	0.0	1.0	1	67	374	0.0027	0.0147	0.0045	1	67	204	0.0049	0	68	170	0.0	36897	6204	397	16	0	2637.8	2142.2	2142.2	2145.3	2153.2	109.8	109.7	99.8	99.8	99.8	2637.8	44.1	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	86	22	64	353	0	0.0587	0.2558	0.0	1.0	0.7442	0.9413	0.0954	18	68	187	0.0878	0.2093	0.0	1.0	4	82	166	0.0235	0.0465	0.0	1.0	22	64	353	0.0587	0.2558	0.0954	18	68	187	0.0878	4	82	166	0.0235	35350	4852	348	16	0	2455.1	2003.8	2003.8	0.0	2014.6	109.8	109.7	99.7	0.0	99.7	2455.1	41.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	186	110	76	265	0	0.2933	0.5914	0.0	1.0	0.4086	0.7067	0.3922	83	103	122	0.4049	0.4462	0.0	1.0	27	159	143	0.1588	0.1452	0.0	1.0	110	76	265	0.2933	0.5914	0.3922	83	103	122	0.4049	27	159	143	0.1588	37909	6097	437	17	0	2636.3	2156.2	2156.2	0.0	2167.2	109.8	109.7	99.8	0.0	99.8	2636.3	45.1	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	232	159	73	216	0	0.424	0.6853	0.0	1.0	0.3147	0.576	0.5239	115	117	90	0.561	0.4957	0.0	1.0	44	188	126	0.2588	0.1897	0.0	1.0	159	73	216	0.424	0.6853	0.5239	115	117	90	0.561	44	188	126	0.2588	34718	4793	419	18	0	2478.0	2002.8	2002.8	0.0	2013.8	109.8	109.7	99.8	0.0	109.7	2478.0	40.5	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	75	1	74	374	0	0.0027	0.0133	0.0	1.0	0.9867	0.9973	0.0044	1	74	204	0.0049	0.0133	0.0	1.0	0	75	170	0.0	0.0	0.0	1.0	1	74	374	0.0027	0.0133	0.0044	1	74	204	0.0049	0	75	170	0.0	34209	4762	373	16	0	2479.4	2004.7	2004.7	0.0	2015.5	109.8	109.7	99.7	0.0	109.7	2479.4	39.9	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	286	216	70	159	0	0.576	0.7552	0.0	1.0	0.2448	0.424	0.6536	156	130	49	0.761	0.5455	0.0	1.0	60	226	110	0.3529	0.2098	0.0	1.0	216	70	159	0.576	0.7552	0.6536	156	130	49	0.761	60	226	110	0.3529	36328	5241	406	19	0	2512.2	2037.7	2037.7	0.0	2048.8	109.7	109.7	99.8	0.0	109.7	2512.2	42.6	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	339	235	104	140	0	0.6267	0.6932	0.0	1.0	0.3068	0.3733	0.6583	168	171	37	0.8195	0.4956	0.0	1.0	67	272	103	0.3941	0.1976	0.0	1.0	235	104	140	0.6267	0.6932	0.6583	168	171	37	0.8195	67	272	103	0.3941	39048	6584	505	19	0	2680.2	2198.7	2198.7	0.0	2209.7	109.8	109.7	109.8	0.0	99.8	2680.2	46.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	83	2	81	373	0	0.0053	0.0241	0.0	1.0	0.9759	0.9947	0.0087	2	81	203	0.0098	0.0241	0.0	1.0	0	83	170	0.0	0.0	0.0	1.0	2	81	373	0.0053	0.0241	0.0087	2	81	203	0.0098	0	83	170	0.0	37330	5834	413	17	0	2497.2	2021.5	2021.5	0.0	2032.4	109.8	109.7	99.8	0.0	99.7	2497.2	44.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	83	2	81	373	0	0.0053	0.0241	0.0	1.0	0.9759	0.9947	0.0087	2	81	203	0.0098	0.0241	0.0	1.0	0	83	170	0.0	0.0	0.0	1.0	2	81	373	0.0053	0.0241	0.0087	2	81	203	0.0098	0	83	170	0.0	43466	8585	646	17	0	2770.2	2283.4	2283.4	0.0	2294.2	109.8	109.7	99.8	0.0	109.7	2770.2	53.4	0
