sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	8	0	8	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	8	205	0.0	0.0	0.0	1.0	0	8	170	0.0	0.0	0.0	1.0	0	8	375	0.0	0.0	0.0	0	8	205	0.0	0	8	170	0.0	36465	5116	375	17	0	2489.6	2024.2	2024.2	0.0	2035.1	109.7	109.7	99.8	0.0	99.8	2489.6	42.5	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	20	0	20	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	20	205	0.0	0.0	0.0	1.0	0	20	170	0.0	0.0	0.0	1.0	0	20	375	0.0	0.0	0.0	0	20	205	0.0	0	20	170	0.0	36567	5797	401	16	0	2653.6	2142.1	2142.1	0.0	2153.1	109.8	109.7	99.7	0.0	99.8	2653.6	43.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	17	9	8	366	0	0.024	0.5294	0.0	1.0	0.4706	0.976	0.0459	6	11	199	0.0293	0.3529	0.0	1.0	3	14	167	0.0176	0.1765	0.0	1.0	9	8	366	0.024	0.5294	0.0459	6	11	199	0.0293	3	14	167	0.0176	35364	4893	361	16	0	2481.9	2003.9	2003.9	0.0	2014.9	109.7	109.7	99.8	0.0	109.7	2481.9	41.2	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	73	61	12	314	0	0.1627	0.8356	0.0	1.0	0.1644	0.8373	0.2723	44	29	161	0.2146	0.6027	0.0	1.0	17	56	153	0.1	0.2329	0.0	1.0	61	12	314	0.1627	0.8356	0.2723	44	29	161	0.2146	17	56	153	0.1	37988	6179	443	17	0	2661.7	2156.2	2156.2	0.0	2167.2	109.8	109.7	99.8	0.0	99.8	2661.7	45.2	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	89	83	6	292	0	0.2213	0.9326	0.0	1.0	0.0674	0.7787	0.3578	60	29	145	0.2927	0.6742	0.0	1.0	23	66	147	0.1353	0.2584	0.0	1.0	83	6	292	0.2213	0.9326	0.3578	60	29	145	0.2927	23	66	147	0.1353	34685	4828	398	18	0	2478.1	2002.8	2002.8	0.0	2013.7	109.8	109.7	99.8	0.0	99.8	2478.1	40.5	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	7	0	7	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	7	205	0.0	0.0	0.0	1.0	0	7	170	0.0	0.0	0.0	1.0	0	7	375	0.0	0.0	0.0	0	7	205	0.0	0	7	170	0.0	34180	4904	375	16	0	2479.4	2004.7	2004.7	0.0	2015.6	109.7	109.7	99.8	0.0	109.7	2479.4	40.1	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	159	147	12	228	0	0.392	0.9245	0.0	1.0	0.0755	0.608	0.5506	108	51	97	0.5268	0.6792	0.0	1.0	39	120	131	0.2294	0.2453	0.0	1.0	147	12	228	0.392	0.9245	0.5506	108	51	97	0.5268	39	120	131	0.2294	36189	5284	411	19	0	2519.5	2037.7	2037.7	2048.5	2048.7	109.8	109.7	99.8	99.8	99.8	2519.5	42.5	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	240	212	28	163	0	0.5653	0.8833	0.0	1.0	0.1167	0.4347	0.6894	150	90	55	0.7317	0.625	0.0	1.0	62	178	108	0.3647	0.2583	0.0	1.0	212	28	163	0.5653	0.8833	0.6894	150	90	55	0.7317	62	178	108	0.3647	39040	6542	506	19	0	2680.2	2198.7	2198.7	0.0	2209.7	109.8	109.7	99.8	0.0	109.7	2680.2	46.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	13	0	13	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	13	205	0.0	0.0	0.0	1.0	0	13	170	0.0	0.0	0.0	1.0	0	13	375	0.0	0.0	0.0	0	13	205	0.0	0	13	170	0.0	37218	5826	405	16	0	2497.4	2021.5	2021.5	0.0	2032.6	109.8	109.7	99.8	0.0	109.7	2497.4	44.0	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	16	0	16	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	16	205	0.0	0.0	0.0	1.0	0	16	170	0.0	0.0	0.0	1.0	0	16	375	0.0	0.0	0.0	0	16	205	0.0	0	16	170	0.0	43539	8547	655	17	0	2770.3	2283.4	2283.4	0.0	2294.2	109.8	109.7	99.8	0.0	109.7	2770.3	53.4	0
