sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36849	5069	388	0	0	2481.8	2019.7	2019.7	0.0	2019.8	109.7	109.7	99.8	0.0	109.7	2481.8	42.9	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36974	6057	406	0	0	2649.1	2137.7	2137.7	0.0	2137.8	109.8	109.7	99.7	0.0	99.7	2649.1	44.0	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	22	22	0	353	0	0.0587	1.0	0.0	0.0	0.0	0.9413	0.1108	18	4	187	0.0878	0.8182	0.0	1.0	4	18	166	0.0235	0.1818	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35650	4922	357	0	0	2453.5	1999.2	1999.3	0.0	1999.4	109.7	109.7	99.7	0.0	99.8	2453.5	41.5	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	110	110	0	265	0	0.2933	1.0	0.0	0.0	0.0	0.7067	0.4536	83	27	122	0.4049	0.7545	0.0	1.0	27	83	143	0.1588	0.2455	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38004	6336	462	1	0	2632.0	2151.9	2151.9	0.0	2152.0	109.7	109.7	99.8	0.0	109.7	2632.0	45.4	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	159	159	0	216	0	0.424	1.0	0.0	0.0	0.0	0.576	0.5955	115	44	90	0.561	0.7233	0.0	1.0	44	115	126	0.2588	0.2767	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34918	4888	411	1	0	2473.6	1998.4	1998.4	0.0	1998.4	109.7	109.7	99.7	0.0	99.8	2473.6	40.8	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34396	4951	388	0	0	2474.9	2000.2	2000.2	0.0	2000.4	109.7	109.7	99.7	0.0	99.8	2474.9	40.3	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	216	216	0	159	0	0.576	1.0	0.0	0.0	0.0	0.424	0.731	156	60	49	0.761	0.7222	0.0	1.0	60	156	110	0.3529	0.2778	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36276	5186	407	1	0	2536.1	2033.1	2033.2	0.0	2033.3	109.7	109.7	99.8	0.0	99.8	2536.1	42.5	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	235	235	0	140	0	0.6267	1.0	0.0	0.0	0.0	0.3733	0.7705	168	67	37	0.8195	0.7149	0.0	1.0	67	168	103	0.3941	0.2851	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39198	6306	544	1	0	2706.3	2194.2	2194.2	0.0	2194.3	111.8	109.7	109.7	0.0	109.7	2706.3	46.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37264	5741	421	0	0	2478.0	2016.7	2016.8	0.0	2016.9	109.7	109.7	109.7	0.0	99.8	2478.0	44.0	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43472	8426	658	1	0	2765.7	2278.7	2278.7	0.0	2278.8	109.7	109.7	99.8	0.0	99.8	2765.7	53.2	0
Sample_30ng_VAF_0p1pc	30ng	0.1	403760	28549	7.071	31	31	0	344	0	0.0827	1.0	0.0	0.0	0.0	0.9173	0.1527	28	3	177	0.1366	0.9032	0.0	1.0	3	28	167	0.0176	0.0968	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38225	6281	415	1	0	2560.5	2080.9	2081.0	0.0	2081.1	109.8	109.7	99.8	0.0	109.7	2560.5	45.5	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362468	21751	6.001	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	78	29	127	0.3805	0.729	0.0	1.0	29	78	141	0.1706	0.271	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37641	5638	404	1	0	2477.6	2003.2	2003.2	0.0	2003.3	109.8	109.7	99.8	0.0	99.8	2477.6	44.3	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416693	31667	7.6	186	186	0	189	0	0.496	1.0	0.0	0.0	0.0	0.504	0.6631	134	52	71	0.6537	0.7204	0.0	1.0	52	134	118	0.3059	0.2796	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37937	6652	499	1	0	2595.5	2112.7	2112.7	0.0	2112.8	109.8	109.7	99.8	0.0	99.8	2595.5	45.7	0
Sample_30ng_VAF_0pc	30ng	0.0	390130	26407	6.769	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37891	6341	417	0	0	2537.6	2058.0	2058.0	0.0	2058.1	109.7	109.8	99.8	0.0	109.7	2537.6	45.2	0
Sample_30ng_VAF_1pc	30ng	1.0	395457	25611	6.476	221	221	0	154	0	0.5893	1.0	0.0	0.0	0.0	0.4107	0.7416	160	61	45	0.7805	0.724	0.0	1.0	61	160	109	0.3588	0.276	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38692	6254	434	1	0	2554.6	2065.7	2065.7	0.0	2065.8	109.8	109.7	99.8	0.0	109.7	2554.6	46.0	0
Sample_30ng_VAF_2pc	30ng	2.0	397961	26204	6.585	228	228	0	147	0	0.608	1.0	0.0	0.0	0.0	0.392	0.7562	163	65	42	0.7951	0.7149	0.0	1.0	65	163	105	0.3824	0.2851	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38000	6363	447	1	0	2550.5	2070.7	2070.7	2070.7	2070.7	109.7	109.7	99.8	99.8	109.7	2550.5	45.4	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631467	32063	5.078	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40732	5938	238	0	0	2895.2	2399.2	2399.2	0.0	2399.3	109.8	109.7	99.7	0.0	109.7	2895.2	47.6	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683493	31500	4.609	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43116	6310	228	0	0	2997.6	2475.9	2475.9	0.0	2475.9	109.8	109.7	99.7	0.0	99.8	2997.6	50.3	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637616	33244	5.214	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41599	6048	265	0	0	2959.3	2416.9	2416.9	0.0	2417.0	109.8	109.7	99.7	0.0	109.7	2959.3	48.6	0
Sample_5ng_VAF_0p25pc	5ng	0.25	626286	37270	5.951	28	28	0	347	0	0.0747	1.0	0.0	0.0	0.0	0.9253	0.139	19	9	186	0.0927	0.6786	0.0	1.0	9	19	161	0.0529	0.3214	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42076	5975	259	0	0	2900.9	2404.8	2404.8	0.0	2404.8	109.8	109.7	99.7	0.0	99.8	2900.9	49.0	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643832	32136	4.991	70	70	0	305	0	0.1867	1.0	0.0	0.0	0.0	0.8133	0.3146	51	19	154	0.2488	0.7286	0.0	1.0	19	51	151	0.1118	0.2714	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40992	5992	251	0	0	2967.2	2419.0	2419.1	0.0	2419.1	109.8	109.7	109.7	0.0	99.8	2967.2	47.9	0
