sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36508	5069	376	0	0	2500.1	2024.2	2024.2	0.0	2024.4	109.8	109.7	99.8	0.0	99.8	2500.1	42.5	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36701	5941	398	0	0	2622.2	2142.2	2142.2	0.0	2142.4	109.8	109.7	99.8	0.0	99.8	2622.2	43.6	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	9	9	0	366	0	0.024	1.0	0.0	0.0	0.0	0.976	0.0469	6	3	199	0.0293	0.6667	0.0	1.0	3	6	167	0.0176	0.3333	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35317	4942	363	0	0	2468.1	2003.9	2003.9	0.0	2004.0	109.8	109.7	99.8	0.0	99.8	2468.1	41.2	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	61	61	0	314	0	0.1627	1.0	0.0	0.0	0.0	0.8373	0.2798	44	17	161	0.2146	0.7213	0.0	1.0	17	44	153	0.1	0.2787	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37858	6399	440	1	0	2635.1	2156.3	2156.3	0.0	2156.5	109.8	109.8	99.8	0.0	99.8	2635.1	45.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	83	83	0	292	0	0.2213	1.0	0.0	0.0	0.0	0.7787	0.3624	60	23	145	0.2927	0.7229	0.0	1.0	23	60	147	0.1353	0.2771	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34662	4778	398	1	0	2503.8	2002.8	2002.8	0.0	2003.0	109.8	109.7	99.8	0.0	109.7	2503.8	40.4	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34264	4940	369	0	0	2505.2	2004.7	2004.7	0.0	2004.8	109.7	109.7	99.7	0.0	99.7	2505.2	40.1	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	147	147	0	228	0	0.392	1.0	0.0	0.0	0.0	0.608	0.5632	108	39	97	0.5268	0.7347	0.0	1.0	39	108	131	0.2294	0.2653	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36301	5162	405	1	0	2513.1	2037.7	2037.7	0.0	2037.8	109.7	109.7	99.7	0.0	109.7	2513.1	42.4	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	212	212	0	163	0	0.5653	1.0	0.0	0.0	0.0	0.4347	0.7223	150	62	55	0.7317	0.7075	0.0	1.0	62	150	108	0.3647	0.2925	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38951	6458	518	1	0	2666.1	2198.8	2198.8	0.0	2199.0	109.8	109.7	99.8	0.0	99.8	2666.1	46.5	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37256	5801	416	0	0	2478.7	2021.5	2021.5	0.0	2021.6	109.8	109.7	99.7	0.0	99.7	2478.7	44.0	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43617	8302	633	1	0	2772.6	2283.3	2283.3	0.0	2283.4	109.8	109.7	99.8	0.0	109.7	2772.6	53.2	0
Sample_30ng_VAF_0p1pc	30ng	0.1	403760	28549	7.071	8	8	0	367	0	0.0213	1.0	0.0	0.0	0.0	0.9787	0.0418	7	1	198	0.0341	0.875	0.0	1.0	1	7	169	0.0059	0.125	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38187	6286	403	1	0	2570.8	2085.5	2085.5	0.0	2085.6	109.8	109.7	99.8	0.0	109.7	2570.8	45.5	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362468	21751	6.001	30	30	0	345	0	0.08	1.0	0.0	0.0	0.0	0.92	0.1481	20	10	185	0.0976	0.6667	0.0	1.0	10	20	160	0.0588	0.3333	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37506	5634	400	1	0	2482.1	2007.7	2007.7	0.0	2007.9	109.7	109.7	99.7	0.0	99.8	2482.1	44.1	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416693	31667	7.6	65	65	0	310	0	0.1733	1.0	0.0	0.0	0.0	0.8267	0.2955	47	18	158	0.2293	0.7231	0.0	1.0	18	47	152	0.1059	0.2769	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37784	6661	489	1	0	2632.8	2117.3	2117.3	0.0	2117.5	109.8	109.8	99.8	0.0	99.8	2632.8	45.5	0
Sample_30ng_VAF_0pc	30ng	0.0	390130	26407	6.769	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37946	6185	412	0	0	2528.7	2062.5	2062.5	0.0	2062.6	109.8	109.7	99.8	0.0	99.8	2528.7	45.1	0
Sample_30ng_VAF_1pc	30ng	1.0	395457	25611	6.476	102	102	0	273	0	0.272	1.0	0.0	0.0	0.0	0.728	0.4277	70	32	135	0.3415	0.6863	0.0	1.0	32	70	138	0.1882	0.3137	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38420	6221	430	1	0	2549.7	2070.2	2070.2	0.0	2070.4	109.8	109.7	99.8	0.0	99.8	2549.7	45.6	0
Sample_30ng_VAF_2pc	30ng	2.0	397961	26204	6.585	148	148	0	227	0	0.3947	1.0	0.0	0.0	0.0	0.6053	0.566	110	38	95	0.5366	0.7432	0.0	1.0	38	110	132	0.2235	0.2568	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37855	6227	434	2	0	2539.4	2075.1	2075.1	0.0	2075.2	109.7	109.7	99.8	0.0	109.7	2539.4	45.1	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631467	32063	5.078	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40447	6060	231	0	0	2899.7	2403.7	2403.7	0.0	2403.9	109.8	109.8	99.8	0.0	99.8	2899.7	47.4	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683493	31500	4.609	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42900	6454	230	0	0	3035.4	2480.3	2480.3	0.0	2480.5	109.8	109.7	99.7	0.0	99.8	3035.4	50.3	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637616	33244	5.214	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41719	6336	275	0	0	2923.0	2421.3	2421.3	0.0	2421.5	109.8	109.7	99.7	0.0	99.8	2923.0	49.0	0
Sample_5ng_VAF_0p25pc	5ng	0.25	626286	37270	5.951	11	11	0	364	0	0.0293	1.0	0.0	0.0	0.0	0.9707	0.057	8	3	197	0.039	0.7273	0.0	1.0	3	8	167	0.0176	0.2727	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41775	6184	240	0	0	2905.6	2409.3	2409.3	0.0	2409.5	109.8	109.7	99.7	0.0	109.7	2905.6	48.9	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643832	32136	4.991	47	47	0	328	0	0.1253	1.0	0.0	0.0	0.0	0.8747	0.2227	35	12	170	0.1707	0.7447	0.0	1.0	12	35	158	0.0706	0.2553	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40936	6220	246	0	0	2921.4	2423.6	2423.6	0.0	2423.8	109.8	109.7	99.7	0.0	99.8	2921.4	48.1	0
Sample_5ng_VAF_0pc	5ng	0.0	645861	22273	3.449	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42469	5957	211	0	0	2904.1	2406.2	2406.2	0.0	2406.3	109.8	109.7	99.7	0.0	99.7	2904.1	49.3	0
Sample_5ng_VAF_1pc	5ng	1.0	609701	33081	5.426	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	80	27	125	0.3902	0.7477	0.0	1.0	27	80	143	0.1588	0.2523	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40381	6182	265	0	0	2898.2	2375.9	2375.9	0.0	2376.1	109.7	109.7	99.8	0.0	99.8	2898.2	47.5	0
Sample_5ng_VAF_2pc	5ng	2.0	625985	29643	4.735	175	175	0	200	0	0.4667	1.0	0.0	0.0	0.0	0.5333	0.6364	128	47	77	0.6244	0.7314	0.0	1.0	47	128	123	0.2765	0.2686	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41161	6045	242	0	0	2890.4	2393.9	2393.9	0.0	2394.1	109.8	109.8	99.8	0.0	109.7	2890.4	48.1	0
