feature,importance,model
nref,4802.0,lightgbm_raw
nalt,2887.0,lightgbm_raw
vaf,2686.0,lightgbm_raw
sbp,2683.0,lightgbm_raw
conf,902.0,lightgbm_raw
alt_len,613.0,lightgbm_raw
ref_len,427.0,lightgbm_raw
nsimalt,0.0,lightgbm_raw
pos,3099.0,lightgbm_v2
observed_vaf_diff,1786.0,lightgbm_v2
sbp,1188.0,lightgbm_v2
ci_width_rel,932.0,lightgbm_v2
depth_bucket,737.0,lightgbm_v2
nref,709.0,lightgbm_v2
params_coverage,658.0,lightgbm_v2
alt_depth,579.0,lightgbm_v2
nalt_over_conf,564.0,lightgbm_v2
conf,562.0,lightgbm_v2
ci_width,558.0,lightgbm_v2
params_fragment_mean,455.0,lightgbm_v2
vaf_times_nalt,407.0,lightgbm_v2
vaf_times_conf,365.0,lightgbm_v2
indel_size,337.0,lightgbm_v2
vaf,321.0,lightgbm_v2
nalt,305.0,lightgbm_v2
ref_alt_len_ratio,245.0,lightgbm_v2
ref_len,205.0,lightgbm_v2
log_vaf,178.0,lightgbm_v2
params_pcr_cycles,159.0,lightgbm_v2
dataset_type_enc,146.0,lightgbm_v2
alt_len,146.0,lightgbm_v2
snr,129.0,lightgbm_v2
variant_class_enc,113.0,lightgbm_v2
params_family_size_mean,62.0,lightgbm_v2
sbp_cat,21.0,lightgbm_v2
sbp_above_05,19.0,lightgbm_v2
conf_above_999,11.0,lightgbm_v2
log_alt_depth,4.0,lightgbm_v2
nsimalt,0.0,lightgbm_v2
vaf_sq,0.0,lightgbm_v2
nalt_sq,0.0,lightgbm_v2
conf_sq,0.0,lightgbm_v2
log_nref,0.0,lightgbm_v2
log_nalt,0.0,lightgbm_v2
simplex_only_frac,0.0,lightgbm_v2
conf_above_99,0.0,lightgbm_v2
mode_enc,0.0,lightgbm_v2
conf,0.7007425427436829,xgboost_raw
nalt,0.22248952090740204,xgboost_raw
ref_len,0.03125,xgboost_raw
alt_len,0.021272214129567146,xgboost_raw
vaf,0.010980246588587761,xgboost_raw
nref,0.006902887485921383,xgboost_raw
sbp,0.006362555548548698,xgboost_raw
nsimalt,0.0,xgboost_raw
ci_width_rel,0.8543968796730042,xgboost_v2
ref_len,0.021420888602733612,xgboost_v2
conf,0.01821228116750717,xgboost_v2
nalt,0.012244388461112976,xgboost_v2
params_coverage,0.012202952057123184,xgboost_v2
pos,0.010305454954504967,xgboost_v2
vaf_times_nalt,0.010104191489517689,xgboost_v2
alt_len,0.008705916814506054,xgboost_v2
indel_size,0.00868287030607462,xgboost_v2
dataset_type_enc,0.007817534729838371,xgboost_v2
ci_width,0.00569352088496089,xgboost_v2
ref_alt_len_ratio,0.00493623735383153,xgboost_v2
vaf,0.004771101754158735,xgboost_v2
params_fragment_mean,0.002938908990472555,xgboost_v2
vaf_times_conf,0.002842177636921406,xgboost_v2
nref,0.002632605377584696,xgboost_v2
depth_bucket,0.0022024549543857574,xgboost_v2
variant_class_enc,0.0018684514798223972,xgboost_v2
sbp,0.0018064961768686771,xgboost_v2
nalt_over_conf,0.0016743149608373642,xgboost_v2
snr,0.0013049485860392451,xgboost_v2
observed_vaf_diff,0.001187891815789044,xgboost_v2
alt_depth,0.0009551538387313485,xgboost_v2
params_family_size_mean,0.00046540118637494743,xgboost_v2
sbp_cat,0.00030283225351013243,xgboost_v2
conf_above_999,0.00020005319674964994,xgboost_v2
params_pcr_cycles,0.0001029671257128939,xgboost_v2
sbp_above_05,2.111818321282044e-05,xgboost_v2
nsimalt,0.0,xgboost_v2
log_alt_depth,0.0,xgboost_v2
log_nref,0.0,xgboost_v2
vaf_sq,0.0,xgboost_v2
nalt_sq,0.0,xgboost_v2
conf_sq,0.0,xgboost_v2
log_vaf,0.0,xgboost_v2
log_nalt,0.0,xgboost_v2
simplex_only_frac,0.0,xgboost_v2
conf_above_99,0.0,xgboost_v2
mode_enc,0.0,xgboost_v2
