sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10833	4394	1008	2	2	1850.2	1598.0	1598.0	0.0	1598.0	109.7	109.6	109.7	0.0	99.7	1850.2	16.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	11602	5584	1190	3	2	1944.4	1680.4	1680.4	0.0	1680.5	109.8	109.7	99.8	0.0	109.7	1944.4	19.0	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	23	23	0	352	0	0.0613	1.0	0.0	0.0	0.0	0.9387	0.1156	19	4	186	0.0927	0.8261	0.0	1.0	4	19	166	0.0235	0.1739	0.0	1.0	10736	4378	923	2	2	1876.7	1584.6	1584.6	0.0	1584.6	109.7	109.7	99.8	0.0	99.8	1876.7	16.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	98	98	0	277	0	0.2613	1.0	0.0	0.0	0.0	0.7387	0.4144	75	23	130	0.3659	0.7653	0.0	1.0	23	75	147	0.1353	0.2347	0.0	1.0	11873	5387	1234	3	3	1963.5	1688.0	1688.0	0.0	1688.1	109.7	109.7	109.7	0.0	109.7	1963.5	19.2	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	150	150	0	225	0	0.4	1.0	0.0	0.0	0.0	0.6	0.5714	108	42	97	0.5268	0.72	0.0	1.0	42	108	128	0.2471	0.28	0.0	1.0	10431	4072	1140	3	2	1835.7	1582.9	1582.9	0.0	1582.9	109.7	109.7	99.8	0.0	109.7	1835.7	16.2	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10463	4233	964	6	1	1857.6	1584.9	1584.9	0.0	1584.9	109.8	109.7	99.8	0.0	99.7	1857.6	16.2	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	208	208	0	167	0	0.5547	1.0	0.0	0.0	0.0	0.4453	0.7136	150	58	55	0.7317	0.7212	0.0	1.0	58	150	112	0.3412	0.2788	0.0	1.0	10748	4539	1035	3	2	1882.7	1607.9	1607.9	0.0	1607.9	109.8	109.7	109.8	0.0	99.7	1882.7	16.9	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	230	230	0	145	0	0.6133	1.0	0.0	0.0	0.0	0.3867	0.7603	164	66	41	0.8	0.713	0.0	1.0	66	164	104	0.3882	0.287	0.0	1.0	12239	6408	1805	4	4	1966.0	1714.2	1714.2	0.0	1714.2	109.8	109.8	99.8	0.0	99.8	1966.0	21.1	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	10730	5472	1076	2	1	1844.8	1593.5	1593.5	0.0	1593.6	109.8	109.7	109.7	0.0	109.7	1844.8	17.9	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	12943	7663	2131	3	2	2022.1	1751.8	1751.8	0.0	1751.8	109.7	109.8	99.8	0.0	109.7	2022.1	23.5	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	29	29	0	346	0	0.0773	1.0	0.0	0.0	0.0	0.9227	0.1436	25	4	180	0.122	0.8621	0.0	1.0	4	25	166	0.0235	0.1379	0.0	1.0	11220	5409	1130	2	1	1898.6	1640.6	1640.6	0.0	1640.6	109.8	109.7	99.8	0.0	99.8	1898.6	18.5	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	79	28	126	0.3854	0.7383	0.0	1.0	28	79	142	0.1647	0.2617	0.0	1.0	10714	5143	1002	2	1	1834.8	1584.0	1584.0	0.0	1584.0	109.8	109.7	109.7	0.0	99.8	1834.8	17.5	0
Sample_30ng_VAF_0p5pc	30ng	0.5	362040	31702	8.756	173	173	0	202	0	0.4613	1.0	0.0	0.0	0.0	0.5387	0.6314	125	48	80	0.6098	0.7225	0.0	1.0	48	125	122	0.2824	0.2775	0.0	1.0	11276	6696	1546	3	2	1938.6	1660.5	1660.5	0.0	1660.6	109.7	109.7	99.8	0.0	99.8	1938.6	20.3	0
Sample_30ng_VAF_0pc	30ng	0.0	346643	26436	7.626	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11121	5425	1106	2	1	1878.8	1624.2	1624.2	0.0	1624.3	109.7	109.8	99.8	0.0	109.7	1878.8	18.3	0
Sample_30ng_VAF_1pc	30ng	1.0	349652	25633	7.331	212	212	0	163	0	0.5653	1.0	0.0	0.0	0.0	0.4347	0.7223	152	60	53	0.7415	0.717	0.0	1.0	60	152	110	0.3529	0.283	0.0	1.0	11096	5394	1269	3	2	1900.7	1628.0	1628.0	0.0	1628.0	109.7	109.7	108.9	0.0	99.7	1900.7	18.4	0
Sample_30ng_VAF_2pc	30ng	2.0	351632	26230	7.46	222	222	0	153	0	0.592	1.0	0.0	0.0	0.0	0.408	0.7437	158	64	47	0.7707	0.7117	0.0	1.0	64	158	106	0.3765	0.2883	0.0	1.0	10986	5267	1147	3	2	1908.3	1631.9	1631.9	0.0	1631.9	109.7	109.8	109.7	0.0	109.7	1908.3	18.0	0
Sample_5ng_VAF_0p001pc	5ng	0.001	346394	32088	9.263	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16572	3497	465	1	1	1910.7	1633.2	1633.2	0.0	1633.2	109.8	109.8	99.8	0.0	109.7	1910.7	21.1	0
Sample_5ng_VAF_0p01pc	5ng	0.01	371322	31531	8.492	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17787	3728	430	1	1	1945.5	1667.9	1667.9	0.0	1668.0	109.8	109.8	99.8	0.0	99.8	1945.5	22.6	0
Sample_5ng_VAF_0p1pc	5ng	0.1	365013	33282	9.118	4	4	0	371	0	0.0107	1.0	0.0	0.0	0.0	0.9893	0.0211	4	0	201	0.0195	1.0	0.0	0.0	0	4	170	0.0	0.0	0.0	1.0	17276	3864	555	2	1	1953.1	1664.4	1664.4	0.0	1664.5	109.8	109.8	99.8	0.0	99.8	1953.1	22.3	0
Sample_5ng_VAF_0p25pc	5ng	0.25	358335	37306	10.411	24	24	0	351	0	0.064	1.0	0.0	0.0	0.0	0.936	0.1203	17	7	188	0.0829	0.7083	0.0	1.0	7	17	163	0.0412	0.2917	0.0	1.0	16526	3733	484	2	1	1918.6	1660.9	1660.9	0.0	1661.0	109.8	109.7	99.7	0.0	99.8	1918.6	21.4	0
Sample_5ng_VAF_0p5pc	5ng	0.5	361035	32167	8.91	63	63	0	312	0	0.168	1.0	0.0	0.0	0.0	0.832	0.2877	46	17	159	0.2244	0.7302	0.0	1.0	17	46	153	0.1	0.2698	0.0	1.0	16746	3600	488	2	1	1905.6	1654.0	1654.0	0.0	1654.0	109.8	109.7	109.7	0.0	109.7	1905.6	21.5	0
Sample_5ng_VAF_0pc	5ng	0.0	350807	22299	6.356	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16695	3314	351	1	1	1896.0	1620.4	1620.4	0.0	1620.4	109.8	99.8	99.8	0.0	109.7	1896.0	21.0	0
Sample_5ng_VAF_1pc	5ng	1.0	358466	33116	9.238	134	134	0	241	0	0.3573	1.0	0.0	0.0	0.0	0.6427	0.5265	97	37	108	0.4732	0.7239	0.0	1.0	37	97	133	0.2176	0.2761	0.0	1.0	16073	3755	544	2	1	1926.7	1650.9	1650.9	0.0	1650.9	109.8	109.7	99.8	0.0	99.8	1926.7	21.0	0
Sample_5ng_VAF_2pc	5ng	2.0	346773	29680	8.559	194	194	0	181	0	0.5173	1.0	0.0	0.0	0.0	0.4827	0.6819	141	53	64	0.6878	0.7268	0.0	1.0	53	141	117	0.3118	0.2732	0.0	1.0	15932	3525	456	2	1	1888.5	1630.8	1630.8	0.0	1630.8	109.7	109.7	99.8	0.0	99.7	1888.5	20.5	0
