sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	363113	37181	10.24	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	62008	6386	2223	6	5	7496.8	6196.8	6196.8	0.0	6196.9	109.8	109.7	109.7	0.0	99.8	7496.8	71.7	0
Sample_15ng_VAF_0p01pc	15ng	0.01	427472	64117	14.999	6	6	0	369	0	0.016	1.0	0.0	0.0	0.0	0.984	0.0315	6	0	199	0.0293	1.0	0.0	0.0	0	6	170	0.0	0.0	0.0	1.0	63142	8158	3054	6	5	7630.6	6352.2	6352.2	0.0	6352.2	109.8	109.7	99.8	0.0	99.8	7630.6	75.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	340527	42905	12.6	28	28	0	347	0	0.0747	1.0	0.0	0.0	0.0	0.9253	0.139	24	4	181	0.1171	0.8571	0.0	1.0	4	24	166	0.0235	0.1429	0.0	1.0	61195	6430	2372	6	6	7456.2	6176.9	6176.9	0.0	6177.0	119.7	109.8	99.8	0.0	109.7	7456.2	71.0	0
Sample_15ng_VAF_0p25pc	15ng	0.25	441630	64622	14.633	110	110	0	265	0	0.2933	1.0	0.0	0.0	0.0	0.7067	0.4536	83	27	122	0.4049	0.7545	0.0	1.0	27	83	143	0.1588	0.2455	0.0	1.0	65191	8014	2904	7	6	7661.4	6362.0	6362.0	0.0	6362.0	109.8	109.7	99.8	0.0	109.7	7661.4	77.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	341724	39163	11.46	155	155	0	220	0	0.4133	1.0	0.0	0.0	0.0	0.5867	0.5849	113	42	92	0.5512	0.729	0.0	1.0	42	113	128	0.2471	0.271	0.0	1.0	59791	5810	2846	6	4	7484.0	6189.3	6189.4	0.0	6189.4	109.8	109.7	109.7	0.0	109.7	7484.0	69.5	0
Sample_15ng_VAF_0pc	15ng	0.0	344175	39413	11.451	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	59304	6916	2554	5	4	7495.8	6181.6	6181.6	0.0	6181.6	109.8	109.7	99.8	0.0	99.8	7495.8	69.9	0
Sample_15ng_VAF_1pc	15ng	1.0	366924	43548	11.868	211	211	0	164	0	0.5627	1.0	0.0	0.0	0.0	0.4373	0.7201	152	59	53	0.7415	0.7204	0.0	1.0	59	152	111	0.3471	0.2796	0.0	1.0	59572	6706	2821	7	7	7518.8	6222.7	6222.7	0.0	6222.8	109.8	109.7	109.7	0.0	99.8	7518.8	70.2	0
Sample_15ng_VAF_2pc	15ng	2.0	466566	76500	16.396	229	229	0	146	0	0.6107	1.0	0.0	0.0	0.0	0.3893	0.7583	164	65	41	0.8	0.7162	0.0	1.0	65	164	105	0.3824	0.2838	0.0	1.0	65008	8843	3715	9	7	7720.2	6419.1	6419.1	0.0	6419.1	109.7	109.8	109.7	0.0	109.7	7720.2	78.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	384074	22062	5.744	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	59659	6632	2341	3	2	7463.6	6172.9	6172.9	0.0	6173.0	109.8	109.8	109.7	0.0	99.8	7463.6	69.7	0
Sample_30ng_VAF_0p01pc	30ng	0.01	573184	57021	9.948	5	5	0	370	0	0.0133	1.0	0.0	0.0	0.0	0.9867	0.0263	5	0	200	0.0244	1.0	0.0	0.0	0	5	170	0.0	0.0	0.0	1.0	68901	9775	4422	5	4	7803.1	6489.9	6489.9	0.0	6489.9	109.8	109.8	109.7	0.0	99.8	7803.1	84.3	0
Sample_30ng_VAF_0p1pc	30ng	0.1	420284	31087	7.397	31	31	0	344	0	0.0827	1.0	0.0	0.0	0.0	0.9173	0.1527	28	3	177	0.1366	0.9032	0.0	1.0	3	28	167	0.0176	0.0968	0.0	1.0	61238	7396	2004	4	4	7565.0	6266.7	6266.7	0.0	6266.8	109.8	109.7	99.8	0.0	109.7	7565.0	71.7	0
