sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11047	5348	727	0	0	1892.8	1597.9	1597.9	0.0	1597.9	109.7	109.7	99.7	0.0	109.7	1892.8	17.7	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12385	4574	614	3	0	1956.1	1680.6	1680.6	0.0	1680.6	109.8	109.7	99.8	0.0	99.7	1956.1	18.2	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10937	4042	569	2	0	1836.6	1584.7	1584.7	0.0	1584.7	109.8	109.7	99.8	0.0	99.8	1836.6	16.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11876	4623	640	2	0	1963.6	1688.1	1688.1	0.0	1688.1	109.7	109.8	99.8	0.0	109.7	1963.6	17.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10631	3967	590	2	0	1835.8	1583.0	1583.0	0.0	1583.0	109.7	109.7	99.8	0.0	99.8	1835.8	15.7	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10800	3984	580	1	0	1842.3	1584.9	1584.9	0.0	1584.9	109.7	109.7	99.8	0.0	99.8	1842.3	15.9	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11053	4167	587	1	0	1887.0	1607.9	1607.9	0.0	1607.9	109.7	109.7	99.8	0.0	99.7	1887.0	16.4	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	13739	5596	666	2	0	1997.3	1714.2	1714.2	0.0	1714.2	109.8	109.7	99.8	0.0	99.8	1997.3	20.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10730	4658	628	0	0	1844.7	1593.6	1593.6	0.0	1593.6	109.8	109.7	99.8	0.0	99.7	1844.7	16.6	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12695	5809	791	0	0	2031.3	1751.9	1751.9	0.0	1751.9	109.7	109.7	109.7	0.0	99.7	2031.3	20.0	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11156	4831	651	0	0	1918.6	1640.4	1640.4	0.0	1640.4	109.7	109.7	99.8	0.0	99.8	1918.6	17.2	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10703	4611	619	0	0	1840.3	1583.9	1583.9	0.0	1583.9	109.7	109.7	99.8	0.0	99.7	1840.3	16.5	0
