sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349269	34947	10.006	100	0	100	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	100	205	0.0	0.0	0.0	1.0	0	100	170	0.0	0.0	0.0	1.0	10774	4879	1575	2	2	1923.2	1646.9	1646.9	0.0	1647.0	109.7	109.7	99.8	0.0	109.7	1923.2	17.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	400874	57469	14.336	114	2	112	373	0	0.0053	0.0175	0.0	1.0	0.9825	0.9947	0.0082	2	112	203	0.0098	0.0175	0.0	1.0	0	114	170	0.0	0.0	0.0	1.0	11659	5534	1986	2	2	2063.6	1760.8	1760.8	0.0	1760.9	109.7	109.7	99.8	0.0	99.8	2063.6	19.9	0
Sample_15ng_VAF_0p1pc	15ng	0.1	327917	40412	12.324	117	24	93	351	0	0.064	0.2051	0.0	1.0	0.7949	0.936	0.0976	20	97	185	0.0976	0.1709	0.0	1.0	4	113	166	0.0235	0.0342	0.0	1.0	10624	4484	1419	2	2	1882.0	1630.1	1630.1	0.0	1630.2	109.8	109.7	99.8	0.0	99.8	1882.0	17.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413118	57629	13.95	206	106	100	269	0	0.2827	0.5146	0.0	1.0	0.4854	0.7173	0.3649	80	126	125	0.3902	0.3883	0.0	1.0	26	180	144	0.1529	0.1262	0.0	1.0	11823	6048	2509	3	3	2040.0	1774.1	1774.1	0.0	1774.1	109.7	109.7	109.8	0.0	99.8	2040.0	21.1	0
Sample_15ng_VAF_0p5pc	15ng	0.5	328706	36917	11.231	259	156	103	219	0	0.416	0.6023	0.0	1.0	0.3977	0.584	0.4921	113	146	92	0.5512	0.4363	0.0	1.0	43	216	127	0.2529	0.166	0.0	1.0	10411	4712	2444	2	3	1880.4	1627.6	1627.6	0.0	1627.6	109.7	109.7	99.8	0.0	99.8	1880.4	18.2	0
Sample_15ng_VAF_0pc	15ng	0.0	331556	37132	11.199	95	1	94	374	0	0.0027	0.0105	0.0	1.0	0.9895	0.9973	0.0043	1	94	204	0.0049	0.0105	0.0	1.0	0	95	170	0.0	0.0	0.0	1.0	10448	4565	1812	2	2	1920.8	1629.7	1629.7	0.0	1629.7	109.7	109.6	109.7	0.0	99.8	1920.8	17.4	0
Sample_15ng_VAF_1pc	15ng	1.0	351739	40750	11.585	314	211	103	164	0	0.5627	0.672	0.0	1.0	0.328	0.4373	0.6125	152	162	53	0.7415	0.4841	0.0	1.0	59	255	111	0.3471	0.1879	0.0	1.0	10857	4987	1956	3	2	1937.0	1660.9	1660.9	0.0	1661.0	109.8	109.8	109.7	0.0	109.7	1937.0	18.4	0
Sample_15ng_VAF_2pc	15ng	2.0	430388	66552	15.463	407	230	177	145	0	0.6133	0.5651	0.0	1.0	0.4349	0.3867	0.5882	164	243	41	0.8	0.4029	0.0	1.0	66	341	104	0.3882	0.1622	0.0	1.0	12350	6265	3344	4	4	2125.6	1815.3	1815.3	0.0	1815.3	109.7	109.7	109.7	0.0	99.8	2125.6	22.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372016	20642	5.549	105	3	102	372	0	0.008	0.0286	0.0	1.0	0.9714	0.992	0.0125	3	102	202	0.0146	0.0286	0.0	1.0	0	105	170	0.0	0.0	0.0	1.0	10617	5532	1925	2	2	1905.4	1641.3	1641.3	0.0	1641.3	109.8	109.7	99.8	0.0	99.8	1905.4	18.8	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523331	47072	8.995	94	4	90	371	0	0.0107	0.0426	0.0	1.0	0.9574	0.9893	0.0171	4	90	201	0.0195	0.0426	0.0	1.0	0	94	170	0.0	0.0	0.0	1.0	12932	7814	5224	3	3	2171.5	1888.2	1888.2	0.0	1888.3	109.7	109.7	109.7	0.0	109.7	2171.5	26.9	0
