sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11020	4346	1019	2	2	1850.0	1597.9	1597.9	0.0	1597.9	109.8	109.7	99.8	0.0	109.7	1850.0	16.9	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	11656	5154	1125	2	2	1977.5	1680.5	1680.5	0.0	1680.5	109.7	109.7	99.8	0.0	99.8	1977.5	18.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	23	23	0	352	0	0.0613	1.0	0.0	0.0	0.0	0.9387	0.1156	19	4	186	0.0927	0.8261	0.0	1.0	4	19	166	0.0235	0.1739	0.0	1.0	10833	4273	923	2	2	1836.6	1584.7	1584.7	0.0	1584.7	109.7	109.8	99.8	0.0	109.7	1836.6	16.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	98	98	0	277	0	0.2613	1.0	0.0	0.0	0.0	0.7387	0.4144	75	23	130	0.3659	0.7653	0.0	1.0	23	75	147	0.1353	0.2347	0.0	1.0	11735	5405	1271	3	3	1939.9	1688.1	1688.1	0.0	1688.1	109.7	109.7	99.8	0.0	109.7	1939.9	19.0	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	151	151	0	224	0	0.4027	1.0	0.0	0.0	0.0	0.5973	0.5741	109	42	96	0.5317	0.7219	0.0	1.0	42	109	128	0.2471	0.2781	0.0	1.0	10535	4454	1215	3	2	1838.3	1582.9	1582.9	0.0	1583.0	109.8	109.7	109.7	0.0	99.8	1838.3	16.8	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10680	4215	988	2	2	1857.6	1584.9	1584.9	0.0	1584.9	109.8	109.8	99.8	0.0	109.7	1857.6	16.4	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	209	209	0	166	0	0.5573	1.0	0.0	0.0	0.0	0.4427	0.7158	151	58	54	0.7366	0.7225	0.0	1.0	58	151	112	0.3412	0.2775	0.0	1.0	10950	4485	1033	3	2	1888.4	1607.9	1607.9	0.0	1608.0	109.8	109.5	99.8	0.0	109.8	1888.4	17.1	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	230	230	0	145	0	0.6133	1.0	0.0	0.0	0.0	0.3867	0.7603	164	66	41	0.8	0.713	0.0	1.0	66	164	104	0.3882	0.287	0.0	1.0	12111	4911	1670	4	3	1973.1	1714.2	1714.2	0.0	1714.2	109.8	109.7	99.8	0.0	109.7	1973.1	19.3	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	10562	4910	1004	2	1	1867.6	1593.6	1593.6	0.0	1593.6	109.7	109.8	109.5	0.0	99.8	1867.6	17.1	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	12498	6139	2078	3	2	2031.2	1751.8	1751.8	0.0	1751.9	109.8	109.7	109.8	0.0	99.7	2031.2	21.5	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	29	29	0	346	0	0.0773	1.0	0.0	0.0	0.0	0.9227	0.1436	25	4	180	0.122	0.8621	0.0	1.0	4	25	166	0.0235	0.1379	0.0	1.0	11070	5322	1120	2	1	1916.8	1640.4	1640.4	0.0	1640.5	109.7	109.8	99.8	0.0	99.7	1916.8	18.1	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	79	28	126	0.3854	0.7383	0.0	1.0	28	79	142	0.1647	0.2617	0.0	1.0	10513	4798	974	2	1	1834.6	1583.8	1583.8	0.0	1583.8	109.7	109.8	109.7	0.0	99.7	1834.6	16.9	0
Sample_30ng_VAF_0p5pc	30ng	0.5	362040	31702	8.756	174	174	0	201	0	0.464	1.0	0.0	0.0	0.0	0.536	0.6339	126	48	79	0.6146	0.7241	0.0	1.0	48	126	122	0.2824	0.2759	0.0	1.0	11188	5395	1449	3	2	1935.5	1660.5	1660.5	0.0	1660.5	109.8	109.7	99.8	0.0	109.7	1935.5	18.7	0
Sample_30ng_VAF_0pc	30ng	0.0	346643	26436	7.626	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10848	5034	1053	2	1	1913.8	1624.1	1624.1	0.0	1624.2	109.8	109.7	99.8	0.0	99.8	1913.8	17.5	0
Sample_30ng_VAF_1pc	30ng	1.0	349652	25633	7.331	213	213	0	162	0	0.568	1.0	0.0	0.0	0.0	0.432	0.7245	153	60	52	0.7463	0.7183	0.0	1.0	60	153	110	0.3529	0.2817	0.0	1.0	10995	5188	1162	3	2	1896.3	1628.0	1628.0	0.0	1628.1	109.8	109.7	109.7	0.0	109.7	1896.3	17.9	0
Sample_30ng_VAF_2pc	30ng	2.0	351632	26230	7.46	224	224	0	151	0	0.5973	1.0	0.0	0.0	0.0	0.4027	0.7479	160	64	45	0.7805	0.7143	0.0	1.0	64	160	106	0.3765	0.2857	0.0	1.0	11024	5161	1134	3	2	1884.2	1631.8	1631.8	0.0	1631.8	109.8	109.7	99.8	0.0	109.8	1884.2	17.9	0
Sample_5ng_VAF_0p001pc	5ng	0.001	346394	32088	9.263	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16683	3282	456	1	1	1908.2	1633.2	1633.2	0.0	1633.2	109.8	109.5	99.8	0.0	109.7	1908.2	21.0	0
Sample_5ng_VAF_0p01pc	5ng	0.01	371322	31531	8.492	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17949	3549	416	1	1	1920.0	1667.8	1667.8	0.0	1667.9	109.8	109.6	99.7	0.0	109.7	1920.0	22.5	0
Sample_5ng_VAF_0p1pc	5ng	0.1	365013	33282	9.118	5	5	0	370	0	0.0133	1.0	0.0	0.0	0.0	0.9867	0.0263	5	0	200	0.0244	1.0	0.0	0.0	0	5	170	0.0	0.0	0.0	1.0	17474	3444	542	2	1	1949.6	1664.5	1664.5	0.0	1664.5	109.8	109.8	99.7	0.0	99.8	1949.6	22.1	0
Sample_5ng_VAF_0p25pc	5ng	0.25	358335	37306	10.411	25	25	0	350	0	0.0667	1.0	0.0	0.0	0.0	0.9333	0.125	18	7	187	0.0878	0.72	0.0	1.0	7	18	163	0.0412	0.28	0.0	1.0	16654	3576	469	2	1	1961.5	1660.9	1660.9	0.0	1660.9	109.8	109.8	99.8	0.0	109.7	1961.5	21.3	0
Sample_5ng_VAF_0p5pc	5ng	0.5	361035	32167	8.91	64	64	0	311	0	0.1707	1.0	0.0	0.0	0.0	0.8293	0.2916	47	17	158	0.2293	0.7344	0.0	1.0	17	47	153	0.1	0.2656	0.0	1.0	16983	3429	472	2	1	1930.4	1653.9	1653.9	0.0	1654.0	109.8	109.7	99.8	0.0	99.7	1930.4	21.5	0
Sample_5ng_VAF_0pc	5ng	0.0	350807	22299	6.356	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16893	3724	342	1	1	1895.9	1620.4	1620.4	0.0	1620.4	109.8	109.7	109.7	0.0	99.8	1895.9	21.5	0
Sample_5ng_VAF_1pc	5ng	1.0	358466	33116	9.238	135	135	0	240	0	0.36	1.0	0.0	0.0	0.0	0.64	0.5294	97	38	108	0.4732	0.7185	0.0	1.0	38	97	132	0.2235	0.2815	0.0	1.0	16339	3468	506	2	1	1902.1	1650.8	1650.8	0.0	1650.9	109.7	109.8	99.8	0.0	109.7	1902.1	20.9	0
Sample_5ng_VAF_2pc	5ng	2.0	346773	29680	8.559	195	195	0	180	0	0.52	1.0	0.0	0.0	0.0	0.48	0.6842	142	53	63	0.6927	0.7282	0.0	1.0	53	142	117	0.3118	0.2718	0.0	1.0	15994	3306	440	2	1	1906.5	1630.9	1630.9	0.0	1631.0	109.8	109.7	109.7	0.0	99.8	1906.5	20.2	0
