type	vaf	replicate	mode	tp	fp	fn	sensitivity	precision	f1
snv	0.0005	a	discovery	1	18	4	0.2	0.05263157894736842	0.08333333333333333
snv	0.0005	a	tumour_informed	1	0	4	0.2	1.0	0.33333333333333337
snv	0.0005	b	discovery	1	13	4	0.2	0.07142857142857142	0.10526315789473682
snv	0.0005	b	tumour_informed	1	0	4	0.2	1.0	0.33333333333333337
snv	0.001	a	discovery	3	14	2	0.6	0.17647058823529413	0.2727272727272727
snv	0.001	a	tumour_informed	3	0	2	0.6	1.0	0.7499999999999999
snv	0.001	b	discovery	2	17	3	0.4	0.10526315789473684	0.16666666666666666
snv	0.001	b	tumour_informed	2	0	3	0.4	1.0	0.5714285714285715
snv	0.0015	a	discovery	4	15	1	0.8	0.21052631578947367	0.3333333333333333
snv	0.0015	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0015	b	discovery	4	13	1	0.8	0.23529411764705882	0.3636363636363636
snv	0.0015	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.002	a	discovery	4	14	1	0.8	0.2222222222222222	0.3478260869565218
snv	0.002	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.002	b	discovery	4	18	1	0.8	0.18181818181818182	0.2962962962962963
snv	0.002	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0025	a	discovery	4	16	1	0.8	0.2	0.32000000000000006
snv	0.0025	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0025	b	discovery	4	18	1	0.8	0.18181818181818182	0.2962962962962963
snv	0.0025	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.003	a	discovery	4	11	1	0.8	0.26666666666666666	0.4
snv	0.003	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.003	b	discovery	4	14	1	0.8	0.2222222222222222	0.3478260869565218
snv	0.003	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0035	a	discovery	4	11	1	0.8	0.26666666666666666	0.4
snv	0.0035	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0035	b	discovery	4	13	1	0.8	0.23529411764705882	0.3636363636363636
snv	0.0035	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.004	a	discovery	4	16	1	0.8	0.2	0.32000000000000006
snv	0.004	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.004	b	discovery	4	19	1	0.8	0.17391304347826086	0.2857142857142857
snv	0.004	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.005	a	discovery	4	21	1	0.8	0.16	0.26666666666666666
snv	0.005	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.005	b	discovery	4	19	1	0.8	0.17391304347826086	0.2857142857142857
snv	0.005	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.006	a	discovery	4	17	1	0.8	0.19047619047619047	0.3076923076923077
snv	0.006	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.006	b	discovery	4	17	1	0.8	0.19047619047619047	0.3076923076923077
snv	0.006	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0075	a	discovery	3	18	2	0.6	0.14285714285714285	0.23076923076923073
snv	0.0075	a	tumour_informed	3	0	2	0.6	1.0	0.7499999999999999
snv	0.0075	b	discovery	4	19	1	0.8	0.17391304347826086	0.2857142857142857
snv	0.0075	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.01	a	discovery	4	18	1	0.8	0.18181818181818182	0.2962962962962963
snv	0.01	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.01	b	discovery	4	22	1	0.8	0.15384615384615385	0.25806451612903225
snv	0.01	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0125	a	discovery	4	19	1	0.8	0.17391304347826086	0.2857142857142857
snv	0.0125	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0125	b	discovery	4	12	1	0.8	0.25	0.38095238095238093
snv	0.0125	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.015	a	discovery	4	18	1	0.8	0.18181818181818182	0.2962962962962963
snv	0.015	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.015	b	discovery	5	13	0	1.0	0.2777777777777778	0.4347826086956522
snv	0.015	b	tumour_informed	5	0	0	1.0	1.0	1.0
snv	0.0175	a	discovery	4	22	1	0.8	0.15384615384615385	0.25806451612903225
snv	0.0175	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.0175	b	discovery	4	17	1	0.8	0.19047619047619047	0.3076923076923077
snv	0.0175	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.02	a	discovery	4	16	1	0.8	0.2	0.32000000000000006
snv	0.02	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.02	b	discovery	4	21	1	0.8	0.16	0.26666666666666666
snv	0.02	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.025	a	discovery	4	15	1	0.8	0.21052631578947367	0.3333333333333333
snv	0.025	a	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.025	b	discovery	4	18	1	0.8	0.18181818181818182	0.2962962962962963
snv	0.025	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.03	a	discovery	3	9	2	0.6	0.25	0.35294117647058826
snv	0.03	a	tumour_informed	3	0	2	0.6	1.0	0.7499999999999999
snv	0.03	b	discovery	4	28	1	0.8	0.125	0.21621621621621623
snv	0.03	b	tumour_informed	4	0	1	0.8	1.0	0.888888888888889
snv	0.035	a	discovery	4	16	1	0.8	0.2	0.32000000000000006
