sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10870	4245	8861	12	14	1871.4	1597.8	1597.9	0.0	1597.9	109.8	109.7	109.8	0.0	109.7	1871.4	24.7	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	11526	4864	10501	15	17	1932.9	1680.6	1680.6	0.0	1680.6	109.7	109.7	109.7	0.0	99.8	1932.9	27.6	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	21	21	0	354	0	0.056	1.0	0.0	0.0	0.0	0.944	0.1061	17	4	188	0.0829	0.8095	0.0	1.0	4	17	166	0.0235	0.1905	0.0	1.0	10580	3910	5335	14	16	1852.2	1584.6	1584.6	0.0	1584.6	109.8	109.7	109.7	0.0	109.8	1852.2	20.5	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	79	79	0	296	0	0.2107	1.0	0.0	0.0	0.0	0.7893	0.348	61	18	144	0.2976	0.7722	0.0	1.0	18	61	152	0.1059	0.2278	0.0	1.0	11714	5016	10211	18	20	1941.4	1688.1	1688.1	0.0	1688.1	109.8	109.7	109.8	0.0	99.8	1941.4	27.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	135	135	0	240	0	0.36	1.0	0.0	0.0	0.0	0.64	0.5294	94	41	111	0.4585	0.6963	0.0	1.0	41	94	129	0.2412	0.3037	0.0	1.0	10550	4089	15973	16	19	1865.6	1582.9	1582.9	0.0	1582.9	109.7	109.7	109.8	0.0	109.7	1865.6	31.3	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10495	4069	7766	13	14	1842.3	1584.9	1584.9	0.0	1585.0	109.7	109.7	109.8	0.0	109.7	1842.3	23.0	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	184	184	0	191	0	0.4907	1.0	0.0	0.0	0.0	0.5093	0.6583	130	54	75	0.6341	0.7065	0.0	1.0	54	130	116	0.3176	0.2935	0.0	1.0	10830	4204	8458	15	17	1859.9	1607.9	1607.9	0.0	1607.9	109.8	109.7	109.8	0.0	109.7	1859.9	24.2	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	181	181	0	194	0	0.4827	1.0	0.0	0.0	0.0	0.5173	0.6511	127	54	78	0.6195	0.7017	0.0	1.0	54	127	116	0.3176	0.2983	0.0	1.0	12004	4999	27103	20	23	1978.1	1714.2	1714.2	0.0	1714.2	109.7	109.7	109.8	0.0	109.7	1978.1	44.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	10602	4724	6815	10	9	1856.2	1593.6	1593.6	0.0	1593.6	109.7	109.7	109.8	0.0	109.8	1856.2	22.9	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	4	4	0	371	0	0.0107	1.0	0.0	0.0	0.0	0.9893	0.0211	4	0	201	0.0195	1.0	0.0	0.0	0	4	170	0.0	0.0	0.0	1.0	12533	6273	36898	15	16	2016.9	1751.8	1751.8	0.0	1751.8	109.8	109.7	109.8	0.0	109.7	2016.9	56.5	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	28	28	0	347	0	0.0747	1.0	0.0	0.0	0.0	0.9253	0.139	25	3	180	0.122	0.8929	0.0	1.0	3	25	167	0.0176	0.1071	0.0	1.0	11016	5141	8508	12	13	1898.4	1640.4	1640.4	0.0	1640.4	109.7	109.7	109.7	0.0	109.7	1898.4	25.4	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	100	100	0	275	0	0.2667	1.0	0.0	0.0	0.0	0.7333	0.4211	74	26	131	0.361	0.74	0.0	1.0	26	74	144	0.1529	0.26	0.0	1.0	10600	4644	7816	11	12	1845.8	1583.8	1583.8	0.0	1583.8	109.7	109.7	109.8	0.0	99.8	1845.8	23.8	0
Sample_30ng_VAF_0p5pc	30ng	0.5	362040	31702	8.756	155	155	0	220	0	0.4133	1.0	0.0	0.0	0.0	0.5867	0.5849	111	44	94	0.5415	0.7161	0.0	1.0	44	111	126	0.2588	0.2839	0.0	1.0	11144	5496	17674	15	17	1963.4	1660.5	1660.5	0.0	1660.6	109.8	109.7	109.8	0.0	109.7	1963.4	35.1	0
Sample_30ng_VAF_0pc	30ng	0.0	346643	26436	7.626	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10893	5198	7160	12	12	1888.0	1624.1	1624.1	1624.2	1624.2	109.7	109.4	109.7	99.8	99.8	1888.0	24.0	0
Sample_30ng_VAF_1pc	30ng	1.0	349652	25633	7.331	191	191	0	184	0	0.5093	1.0	0.0	0.0	0.0	0.4907	0.6749	136	55	69	0.6634	0.712	0.0	1.0	55	136	115	0.3235	0.288	0.0	1.0	10939	5141	9389	15	16	1880.3	1628.0	1628.0	0.0	1628.0	109.7	109.7	109.8	0.0	109.7	1880.3	26.2	0
Sample_30ng_VAF_2pc	30ng	2.0	351632	26230	7.46	199	199	0	176	0	0.5307	1.0	0.0	0.0	0.0	0.4693	0.6934	142	57	63	0.6927	0.7136	0.0	1.0	57	142	113	0.3353	0.2864	0.0	1.0	10962	5112	8665	15	16	1908.3	1631.8	1631.8	0.0	1631.9	109.8	109.7	109.8	0.0	109.7	1908.3	25.5	0
Sample_5ng_VAF_0p001pc	5ng	0.001	346394	32088	9.263	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	16535	3213	2256	11	11	1884.4	1633.2	1633.2	0.0	1633.2	109.8	109.7	99.8	0.0	109.7	1884.4	22.6	0
