type	vaf	replicate	mode	tp	fp	fn	sensitivity	precision	f1
invdel	0.0005	a	discovery	0	0	1	0.0	0.0	0.0
invdel	0.0005	a	tumour_informed	0	0	1	0.0	0.0	0.0
invdel	0.0005	b	discovery	0	0	1	0.0	0.0	0.0
invdel	0.0005	b	tumour_informed	0	0	1	0.0	0.0	0.0
invdel	0.001	a	discovery	0	1	1	0.0	0.0	0.0
invdel	0.001	a	tumour_informed	0	0	1	0.0	0.0	0.0
invdel	0.001	b	discovery	0	1	1	0.0	0.0	0.0
invdel	0.001	b	tumour_informed	0	0	1	0.0	0.0	0.0
invdel	0.0015	a	discovery	0	0	1	0.0	0.0	0.0
invdel	0.0015	a	tumour_informed	0	0	1	0.0	0.0	0.0
invdel	0.0015	b	discovery	1	1	0	1.0	0.5	0.6666666666666666
invdel	0.0015	b	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.002	a	discovery	1	0	0	1.0	1.0	1.0
invdel	0.002	a	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.002	b	discovery	1	0	0	1.0	1.0	1.0
invdel	0.002	b	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.0025	a	discovery	1	0	0	1.0	1.0	1.0
invdel	0.0025	a	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.0025	b	discovery	1	1	0	1.0	0.5	0.6666666666666666
invdel	0.0025	b	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.003	a	discovery	1	0	0	1.0	1.0	1.0
invdel	0.003	a	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.003	b	discovery	1	1	0	1.0	0.5	0.6666666666666666
invdel	0.003	b	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.0035	a	discovery	1	1	0	1.0	0.5	0.6666666666666666
invdel	0.0035	a	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.0035	b	discovery	1	0	0	1.0	1.0	1.0
invdel	0.0035	b	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.004	a	discovery	1	2	0	1.0	0.3333333333333333	0.5
invdel	0.004	a	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.004	b	discovery	1	1	0	1.0	0.5	0.6666666666666666
invdel	0.004	b	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.005	a	discovery	1	0	0	1.0	1.0	1.0
invdel	0.005	a	tumour_informed	1	0	0	1.0	1.0	1.0
invdel	0.005	b	discovery	1	1	0	1.0	0.5	0.6666666666666666
