feature,lgb_gain,xgb_gain
ref_alt_len_ratio,20751681.031814575,0.43822685
vaf,7934993.689240464,0.05136924
snr,4420067.7033520965,0.1413749
ci_width_rel,4233557.581217833,0.04956708
variant_class_enc,2907763.771953225,0.044140745
alt_len,1882772.100674403,0.03091643
ref_len,1701467.5488056727,0.016881464
nref,1262807.9249573648,0.02589589
alt_depth,1239260.5421528816,0.011393286
indel_size,1161566.8059663773,0.0061195944
nalt,967973.0953883728,0.009977813
vaf_times_conf,564850.1442722337,0.1232677
ci_width,432217.9630931672,0.017980706
vaf_times_nalt,357521.48152054875,0.007837346
conf,313300.106880188,0.006108248
nalt_over_conf,282649.7756112218,0.017058702
sbp,83228.07966971397,0.0014023911
log_vaf,7662.79456114769,0.0
vaf_sq,2380.6819763183594,0.0
conf_sq,301.2602996826172,0.0
sbp_above_05,37.87580108642578,0.000481572
has_duplex,0.0,0.0
ndupalt,0.0,0.0
nsimalt,0.0,0.0
duplex_frac,0.0,0.0
log_alt_depth,0.0,0.0
log_nref,0.0,0.0
log_nalt,0.0,0.0
nalt_sq,0.0,0.0
simplex_only_frac,0.0,0.0
duplex_enrichment,0.0,0.0
conf_above_999,0.0,0.0
conf_above_99,0.0,0.0
