feature,lgb_gain,xgb_gain
conf,363386998.23617,0.039159115
indel_size,24988468.604437936,0.0036732105
snr,9572369.314019166,0.0013380334
vaf_times_conf,8810421.114871992,0.0025887985
ref_len,7799556.086691466,0.002813555
alt_len,3635403.1273487285,0.0009953735
vaf_times_nalt,2605397.165768954,0.0006528364
sbp,1141043.483986921,0.0001661649
ci_width_rel,658502.9505098533,0.0010050095
ci_width,601247.8233190295,0.00028408127
vaf,488793.8554307813,0.0009287305
nref,327997.4900768969,0.00017580054
alt_depth,305771.1086731297,0.000105664534
nalt_over_conf,281871.5926788711,0.00027810095
nalt,229210.82040373085,0.00040461513
log_vaf,77051.71789420278,0.0
ref_alt_len_ratio,49699.2428053481,2.190876e-05
nsimalt,11220.070068359375,0.0029748227
conf_above_999,1311.5716761350632,0.9424343
simplex_only_frac,889.4171223640442,0.0
sbp_above_05,181.10890197753906,0.0
log_nalt,61.05289840698242,0.0
ndupalt,0.0,0.0
has_duplex,0.0,0.0
log_alt_depth,0.0,0.0
log_nref,0.0,0.0
duplex_frac,0.0,0.0
conf_sq,0.0,0.0
nalt_sq,0.0,0.0
vaf_sq,0.0,0.0
duplex_enrichment,0.0,0.0
conf_above_99,0.0,0.0
